Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-17.19,0.78,14.70,off,off,-6.22,14.62,0.67,on,12.71,55,1.000,0.00,0.00,0.00,2.0,0,-11.00,1.16,46,48,20.70,71.81,1.74,8.43,53,1822,0.00,15.0,0.00,0
0.004,-17.19,0.78,14.66,off,off,-6.26,14.62,0.67,on,12.71,55,1.000,0.00,0.00,0.00,2.0,0,-11.00,1.16,46,48,20.65,71.80,1.76,8.38,53,1816,0.00,15.0,0.00,0
0.058,-17.19,0.78,14.65,off,off,-6.25,14.62,0.67,on,12.71,55,1.000,0.00,0.00,0.00,2.0,0,-11.00,1.17,46,48,20.79,71.79,1.78,8.40,53,1822,0.00,15.0,0.00,0
0.150,-17.19,0.78,14.60,off,off,-6.18,14.63,0.69,on,12.63,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.15,46,48,20.64,71.91,1.76,8.47,53,1800,0.00,15.0,0.00,0
0.195,-17.19,0.78,14.63,off,off,-6.20,14.63,0.69,on,12.63,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.15,46,48,20.67,71.92,1.76,8.44,53,1798,0.00,15.0,0.00,0
0.258,-17.19,0.78,14.67,off,off,-6.20,14.62,0.69,on,12.63,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.16,46,48,20.77,71.88,1.78,8.45,53,1805,0.00,15.0,0.00,0
0.319,-17.19,0.78,14.60,off,off,-6.19,14.62,0.69,on,12.67,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.16,46,48,20.80,71.87,1.76,8.46,53,1811,0.00,15.0,0.00,0
0.410,-17.19,0.78,14.61,off,off,-6.26,14.62,0.69,on,12.71,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.15,46,48,20.69,71.83,1.72,8.39,53,1811,0.00,14.6,0.00,0
0.475,-17.19,0.78,14.69,off,off,-6.25,14.62,0.69,on,12.71,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.16,46,48,20.72,71.82,1.74,8.40,53,1815,0.00,14.6,0.00,0
0.574,-17.19,0.78,14.60,off,off,-6.30,14.62,0.67,on,12.76,55,1.000,0.00,0.00,0.00,2.0,0,-11.00,1.16,46,48,20.70,71.79,1.74,8.35,53,1816,0.00,14.6,0.00,0
0.650,-17.19,0.78,14.68,off,off,-6.28,14.62,0.67,on,12.80,55,1.000,0.00,0.00,0.00,2.0,0,-11.00,1.16,46,48,20.71,71.81,1.76,8.37,53,1813,0.00,15.0,0.00,0
0.688,-17.19,0.78,14.60,off,off,-6.32,14.62,0.69,on,12.71,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.16,46,48,20.85,71.76,1.76,8.33,53,1819,0.00,15.0,0.00,0
0.770,-17.19,0.78,14.58,off,off,-6.31,14.62,0.67,on,12.71,55,1.000,0.00,0.00,0.00,2.0,0,-10.50,1.16,46,48,20.64,71.76,1.78,8.34,53,1821,0.00,13.4,0.00,0
0.818,-17.19,0.78,14.55,off,off,-7.35,14.63,0.62,on,12.84,55,1.000,0.00,0.00,0.00,2.0,0,-8.00,0.77,46,48,18.82,71.48,1.48,7.30,53,1812,0.00,9.8,0.00,0
0.902,0.00,0.78,14.71,off,off,-8.07,14.65,0.48,on,13.25,55,1.000,0.00,0.00,0.00,2.0,0,-4.50,0.76,46,48,14.60,71.06,1.32,6.58,53,1787,0.00,8.3,0.00,0
0.967,0.00,0.78,14.86,off,off,-8.92,14.66,0.43,on,13.39,55,1.000,0.00,0.00,0.00,2.0,0,1.00,1.54,46,48,12.81,70.71,1.24,5.73,53,1805,0.00,7.5,0.00,0
1.047,0.78,0.78,15.05,off,off,-9.50,14.65,0.36,on,13.54,55,1.000,0.00,0.00,0.00,2.0,0,4.50,1.18,46,48,11.28,70.29,1.22,5.15,53,1849,0.00,7.5,0.00,0
1.123,1.56,0.78,14.84,off,off,-9.96,14.64,0.32,on,13.54,55,1.000,0.00,0.00,0.00,2.0,0,7.00,1.19,46,48,10.18,70.03,1.20,4.68,53,1879,0.00,7.5,0.00,0
1.181,0.78,0.78,14.63,off,off,-10.29,14.64,0.30,on,13.59,55,1.000,0.00,0.00,0.00,2.0,0,10.00,0.80,46,46,9.41,69.95,1.18,4.36,53,1887,0.00,7.1,0.00,0
1.236,-0.78,0.78,14.35,off,off,-10.47,14.64,0.27,on,13.63,55,1.000,0.00,0.00,0.00,2.0,0,10.00,0.81,46,46,8.79,69.83,1.22,4.17,53,1889,0.00,7.1,0.00,0
1.325,-1.56,0.78,14.01,off,off,-10.72,14.64,0.26,on,13.63,55,1.000,0.00,0.00,0.00,2.0,0,12.50,0.80,46,46,8.12,69.66,1.16,3.93,53,1877,0.00,7.1,0.00,0
1.383,-3.12,0.78,13.90,off,off,-10.84,14.64,0.25,on,13.84,55,1.000,0.00,0.00,0.00,2.0,0,17.00,0.80,46,46,7.79,69.56,1.20,3.81,53,1869,0.00,7.1,0.00,0
1.442,-3.12,0.78,13.77,off,off,-10.95,14.64,0.25,on,13.84,55,1.000,0.00,0.00,0.00,2.0,0,18.00,0.80,46,46,7.66,69.45,1.20,3.70,53,1862,0.00,7.5,0.00,0
1.496,-4.69,0.78,13.64,off,off,-10.96,14.64,0.25,on,13.84,55,1.000,0.00,0.00,0.00,2.0,0,19.00,0.79,46,46,7.62,69.41,1.20,3.69,53,1852,0.00,7.5,0.00,0
1.577,-5.47,0.78,13.59,off,off,-10.98,14.65,0.25,on,13.89,57,1.000,0.00,0.00,0.00,2.0,0,20.00,0.79,46,46,7.60,69.34,1.22,3.67,53,1840,0.00,7.5,0.00,0
1.631,-5.47,0.78,13.53,off,off,-10.94,14.65,0.25,on,13.89,57,1.000,0.00,0.00,0.00,2.0,0,20.50,0.78,46,46,7.59,69.32,1.22,3.71,53,1829,0.00,7.5,0.00,0
1.690,-6.25,0.78,13.47,off,off,-10.94,14.65,0.25,on,13.89,57,1.000,0.00,0.00,0.00,2.0,0,21.50,0.78,46,46,7.59,69.29,1.22,3.71,53,1819,0.00,7.9,0.00,0
1.749,-6.25,0.78,13.46,off,off,-10.91,14.65,0.25,on,13.89,57,1.000,0.00,0.00,0.00,2.0,0,22.00,0.77,46,46,7.61,69.29,1.20,3.74,53,1812,0.00,7.9,0.00,0
1.810,-7.03,0.78,13.38,off,off,-10.89,14.65,0.25,on,13.89,57,1.000,0.00,0.00,0.00,1.0,0,22.50,0.77,46,46,7.61,69.29,1.22,3.76,53,1805,0.00,7.9,0.00,0
1.868,-5.47,0.78,13.35,off,off,-10.87,14.66,0.25,on,13.84,57,1.000,0.00,0.00,0.00,1.0,0,24.00,0.76,46,46,7.50,69.18,1.22,3.78,53,1768,0.00,7.9,0.00,0
1.928,-5.47,0.78,13.33,off,off,-10.82,14.66,0.25,on,13.84,57,1.000,0.00,0.00,0.00,1.0,0,24.50,0.75,46,46,7.54,69.19,1.24,3.83,53,1759,0.00,7.9,0.00,0
1.989,-5.47,0.78,13.36,off,off,-10.80,14.66,0.26,on,13.68,57,1.000,0.00,0.00,0.00,1.0,0,24.50,0.75,46,46,7.59,69.21,1.22,3.85,53,1750,0.00,7.9,0.00,0
2.046,-6.25,0.78,13.41,off,off,-10.77,14.67,0.26,on,13.73,57,1.000,0.00,0.00,0.00,1.0,0,25.50,0.74,46,46,7.66,69.24,1.20,3.88,53,1746,0.00,7.9,0.00,0
2.126,-6.25,0.78,13.44,off,off,-10.77,14.67,0.26,on,13.73,57,1.000,0.00,0.00,0.00,1.0,0,25.50,0.74,46,46,7.71,69.21,1.24,3.88,53,1737,0.00,7.9,0.00,0
2.196,-6.25,0.78,13.48,off,off,-10.75,14.67,0.26,on,13.73,57,1.000,0.00,0.00,0.00,1.0,0,26.00,0.74,46,46,7.80,69.29,1.28,3.90,53,1736,0.00,7.9,0.00,0
2.284,-6.25,0.78,13.50,off,off,-10.72,14.67,0.27,on,13.73,57,1.000,0.00,0.00,0.00,1.0,0,25.50,0.74,46,46,7.88,69.27,1.24,3.93,53,1732,0.00,7.9,0.00,0
2.338,-7.03,0.78,13.51,off,off,-10.72,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,0.74,46,46,7.95,69.27,1.24,3.93,53,1730,0.00,8.3,0.00,0
2.414,-7.03,0.78,13.58,off,off,-10.69,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,0.74,46,46,8.01,69.30,1.22,3.96,53,1730,0.00,8.3,0.00,0
2.494,-7.03,0.78,13.63,off,off,-10.68,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.11,46,46,8.05,69.32,1.22,3.97,53,1730,0.00,8.3,0.00,0
2.550,-7.03,0.78,13.67,off,off,-10.67,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,26.00,1.11,46,46,8.09,69.34,1.26,3.98,53,1731,0.00,8.3,0.00,0
2.606,-7.03,0.78,13.69,off,off,-10.66,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,26.00,1.11,46,46,8.12,69.36,1.22,3.99,53,1733,0.00,8.3,0.00,0
2.697,-7.81,0.78,13.67,off,off,-10.64,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.11,46,46,8.13,69.38,1.20,4.01,53,1734,0.00,8.3,0.00,0
2.761,-7.81,0.78,13.64,off,off,-10.64,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.11,46,48,8.14,69.42,1.24,4.00,53,1736,0.00,8.3,0.00,0
2.816,-8.59,0.78,13.62,off,off,-10.61,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.11,46,48,8.18,69.43,1.28,4.03,53,1737,0.00,8.3,0.00,0
2.876,-8.59,0.78,13.60,off,off,-10.61,14.67,0.27,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.11,46,48,8.23,69.44,1.20,4.03,53,1739,0.00,8.3,0.00,0
2.962,-9.38,0.78,13.59,off,off,-10.62,14.67,0.28,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,26.00,1.11,46,48,8.28,69.44,1.24,4.03,53,1742,0.00,8.3,0.00,0
3.016,-9.38,0.78,13.60,off,off,-10.64,14.67,0.28,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,26.00,1.12,46,48,8.32,69.48,1.26,4.00,53,1745,0.00,8.3,0.00,0
3.081,-9.38,0.78,13.58,off,off,-10.61,14.67,0.28,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.12,46,48,8.33,69.46,1.22,4.04,53,1746,0.00,8.3,0.00,0
3.138,-10.16,0.78,13.60,off,off,-10.63,14.67,0.28,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.12,46,48,8.36,69.49,1.30,4.02,53,1747,0.00,8.7,0.00,0
3.220,-10.16,0.78,13.62,off,off,-10.63,14.66,0.28,on,13.73,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.12,46,48,8.42,69.44,1.30,4.02,53,1752,0.00,8.7,0.00,0
3.274,-10.16,0.78,13.64,off,off,-10.61,14.66,0.28,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.50,1.12,46,48,8.45,69.47,1.30,4.03,53,1753,0.00,8.7,0.00,0
3.328,-10.16,0.78,13.67,off,off,-10.61,14.66,0.28,on,13.78,57,1.000,0.00,0.00,0.00,1.0,0,25.00,1.12,46,48,8.48,69.48,1.30,4.04,53,1757,0.00,8.7,0.00,0
