Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-7.81,0.00,14.70,off,off,-10.85,14.70,0.23,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,13.00,0.47,73,77,4.27,64.76,0.98,3.80,92,1093,0.00,5.5,0.00,0
0.004,-7.81,0.00,14.71,off,off,-10.83,14.70,0.23,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,13.50,0.47,73,77,4.27,64.79,0.98,3.82,92,1092,0.00,5.5,0.00,0
0.009,-7.81,0.00,14.73,off,off,-10.83,14.70,0.23,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,13.50,0.47,73,77,4.27,64.79,0.96,3.82,92,1092,0.00,5.5,0.00,0
0.012,-7.81,0.00,14.73,off,off,-10.80,14.70,0.23,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,13.50,0.47,73,77,4.27,64.82,0.96,3.85,92,1094,0.00,5.5,0.00,0
0.056,-7.81,0.00,14.77,off,off,-10.81,14.70,0.23,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,13.50,0.47,73,77,4.26,64.82,0.98,3.83,92,1095,0.00,5.5,0.00,0
0.111,-7.81,0.00,14.75,off,off,-10.80,14.70,0.22,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,13.50,0.47,73,77,4.26,64.80,0.96,3.85,92,1100,0.00,5.5,0.00,0
0.185,-7.03,0.00,14.80,off,off,-10.83,14.70,0.22,on,14.70,104,1.000,0.00,0.00,0.00,1.0,0,13.50,0.47,73,77,4.21,64.79,1.00,3.82,92,1095,0.00,5.5,0.00,0
0.249,-7.03,0.00,14.82,off,off,-10.84,14.70,0.22,on,14.70,104,1.000,0.00,0.00,0.00,1.0,0,13.50,0.47,73,77,4.17,64.80,0.96,3.81,92,1091,0.00,5.5,0.00,0
0.328,-7.03,0.00,14.83,off,off,-10.83,14.70,0.22,on,14.70,104,1.000,0.00,0.00,0.00,1.0,0,14.00,0.46,73,77,4.14,64.80,0.98,3.82,92,1087,3.42,5.5,0.00,0
0.362,-7.03,0.00,14.88,off,off,-10.82,14.70,0.22,on,14.70,104,1.000,0.00,0.00,0.00,1.0,0,16.00,0.46,73,77,4.20,64.83,0.96,3.83,92,1085,21.31,6.3,0.00,0
0.443,-7.03,0.00,14.88,off,off,-10.61,14.70,0.23,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,16.50,0.46,73,77,4.39,64.97,1.10,4.04,92,1084,21.70,6.7,0.00,0
0.511,-7.03,0.00,14.89,off,off,-10.53,14.70,0.25,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,17.50,0.69,73,77,4.54,65.14,1.10,4.12,92,1085,25.11,6.7,0.00,0
0.590,-7.03,0.00,14.95,off,off,-10.37,14.70,0.26,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,18.50,0.69,73,77,4.71,65.31,1.12,4.28,92,1081,27.08,6.7,0.00,0
0.658,-6.25,0.00,14.98,off,off,-10.25,14.70,0.26,on,14.59,104,1.000,0.00,0.00,0.00,1.0,0,18.50,0.69,73,77,4.85,65.40,1.14,4.40,92,1072,28.66,7.1,0.00,0
0.706,-6.25,0.00,14.98,off,off,-10.09,14.70,0.27,on,14.59,104,1.000,0.00,0.00,0.00,1.0,0,19.00,0.68,73,77,4.97,65.47,1.16,4.56,92,1055,38.45,7.9,0.00,0
0.764,-6.25,0.00,15.03,off,off,-9.94,14.70,0.28,on,14.53,104,1.000,0.00,0.00,0.00,1.0,0,19.50,0.67,73,77,5.15,65.52,1.18,4.71,92,1042,47.49,7.9,0.00,0
0.822,-6.25,0.00,15.02,off,off,-9.71,14.70,0.31,on,14.53,104,1.000,0.00,0.00,0.00,1.0,0,20.00,0.88,73,77,5.35,65.58,1.18,4.94,92,1029,65.20,9.4,0.00,0
0.892,-6.25,0.00,15.08,off,off,-8.85,14.70,0.34,on,14.53,104,1.000,0.00,0.00,0.00,1.0,0,19.50,1.09,73,79,5.88,65.65,1.40,5.80,92,1019,84.88,11.0,0.00,0
0.951,-5.47,0.00,15.12,off,off,-8.12,14.70,0.39,on,14.53,104,1.000,0.00,0.00,0.00,1.0,0,18.50,1.08,73,79,6.81,65.84,1.44,6.53,92,1012,88.36,11.4,0.00,0
1.015,-5.47,0.00,15.16,off,off,-7.51,14.70,0.44,on,14.53,104,1.000,0.00,0.00,0.00,1.0,0,17.50,1.10,73,79,7.76,66.14,1.48,7.14,92,1028,91.16,11.4,0.00,0
1.079,-4.69,0.00,15.33,off,off,-7.21,14.70,0.48,on,14.53,104,1.000,0.00,0.00,0.00,1.0,0,17.00,1.11,73,79,8.62,66.24,1.48,7.44,92,1052,93.68,11.8,0.00,0
1.146,-3.91,0.00,15.58,off,off,-6.77,14.70,0.50,on,14.59,104,1.000,0.00,0.00,0.00,1.0,0,16.00,1.17,73,79,9.51,66.23,1.52,7.87,92,1092,96.46,12.2,0.00,0
1.205,-3.12,0.00,15.90,off,off,-6.24,14.70,0.54,on,14.64,104,1.000,0.00,0.00,0.00,1.0,0,15.50,1.19,73,79,10.40,66.24,1.50,8.40,92,1142,99.58,12.6,0.00,0
1.264,-1.56,0.00,16.29,off,off,-5.96,14.70,0.54,on,14.70,104,1.000,0.00,0.00,0.00,1.0,0,14.50,1.52,73,79,11.35,66.28,1.56,8.69,92,1206,103.04,13.4,0.00,0
1.322,-0.78,0.00,16.39,off,off,-5.59,14.69,0.58,on,14.64,104,1.000,0.70,0.00,0.00,1.0,0,15.00,1.59,73,79,12.54,67.75,1.60,9.05,92,1270,104.03,13.8,0.00,0
1.402,0.78,0.00,16.63,off,off,-5.31,14.69,0.62,on,14.64,104,1.000,1.05,0.00,0.00,1.0,0,15.00,1.71,73,79,14.06,69.43,1.66,9.34,92,1350,105.28,14.6,0.00,0
1.455,1.56,0.00,16.83,off,off,-5.09,14.69,0.65,on,14.64,104,1.000,1.76,0.00,0.00,1.0,0,14.50,1.84,73,79,15.71,70.91,1.72,9.56,92,1437,106.62,15.4,0.00,0
1.513,1.56,0.00,16.65,off,off,-4.92,14.68,0.67,on,14.64,104,1.000,1.76,0.00,0.00,1.0,0,15.00,1.92,73,79,17.51,72.27,1.74,9.73,92,1531,107.79,15.7,0.00,0
1.573,2.34,0.00,16.56,off,off,-4.81,14.66,0.69,on,14.64,104,1.000,1.76,0.00,0.00,1.0,0,15.50,2.11,73,79,19.41,73.10,1.80,9.84,92,1646,107.94,16.1,0.00,0
1.641,1.56,0.00,16.39,off,off,-4.86,14.63,0.70,on,14.59,104,1.000,2.11,0.00,0.00,1.0,0,14.50,2.18,73,79,20.67,72.95,1.80,9.79,92,1738,106.15,16.1,0.00,0
1.701,0.78,0.00,15.88,off,off,-5.00,14.61,0.70,on,14.59,104,1.000,2.11,0.00,0.00,1.0,0,15.50,2.34,73,79,21.61,72.66,1.72,9.65,92,1838,103.49,16.1,0.00,0
1.761,0.78,0.00,15.61,off,off,-5.16,14.59,0.69,on,14.59,104,1.000,2.11,0.00,0.00,1.0,0,15.50,2.41,73,79,22.12,72.35,1.78,9.49,92,1921,100.04,15.7,0.00,0
1.821,0.78,0.00,15.34,off,off,-5.55,14.58,0.66,on,14.53,104,1.000,1.76,0.00,0.00,1.0,0,16.50,2.52,73,79,22.19,71.82,1.74,9.10,92,1984,98.05,15.4,0.00,0
1.885,0.00,0.00,15.11,off,off,-5.86,14.56,0.65,on,14.53,104,1.000,1.76,0.00,0.00,1.0,0,17.00,2.14,73,79,22.21,71.81,1.74,8.79,92,2027,96.47,15.4,0.00,0
1.942,0.00,0.00,14.92,off,off,-6.13,14.55,0.65,on,14.53,104,1.000,1.76,0.00,0.00,1.0,0,18.00,2.19,73,79,22.18,71.96,1.76,8.52,92,2054,95.93,15.0,0.00,0
2.001,-0.78,0.00,14.73,off,off,-6.31,14.55,0.63,on,14.53,104,1.000,1.41,0.00,0.00,1.0,0,18.50,2.20,73,79,22.06,72.00,1.78,8.34,92,2067,95.68,15.0,0.00,0
2.076,-0.78,0.00,14.64,off,off,-6.49,14.55,0.62,on,14.53,104,1.000,1.41,0.00,0.00,1.0,0,18.00,2.65,73,79,21.79,71.87,1.76,8.16,92,2072,95.59,15.0,0.00,0
2.141,-1.56,0.00,14.48,off,off,-6.42,14.56,0.62,on,14.53,104,1.000,1.41,0.00,0.00,1.0,0,21.50,2.64,73,79,21.63,71.79,1.80,8.23,92,2061,94.59,15.7,0.00,0
2.204,-1.56,0.00,14.28,off,off,-6.35,14.26,0.62,on,14.53,104,1.000,1.41,0.00,0.00,1.0,0,22.00,2.63,72,79,21.54,71.67,1.82,8.30,92,2048,94.90,15.7,0.00,0
2.261,-1.56,0.00,14.19,off,off,-6.17,14.26,0.63,on,14.25,104,1.000,1.41,0.00,0.00,1.0,0,22.00,2.61,72,79,21.50,71.64,1.84,8.47,92,2038,95.11,15.7,0.00,0
2.321,-3.12,0.00,14.15,off,off,-6.04,14.57,0.63,on,14.53,104,1.000,1.41,0.00,0.00,1.0,0,22.00,2.60,72,79,21.46,71.62,1.80,8.61,92,2028,95.70,15.7,0.00,0
2.381,-3.12,0.00,14.23,off,off,-5.93,14.57,0.63,on,14.53,104,1.000,1.41,0.00,0.00,1.0,0,22.00,2.58,72,79,21.30,71.52,1.82,8.72,92,2013,96.00,15.7,0.00,0
2.441,-3.12,0.00,14.28,off,off,-5.87,14.57,0.63,on,14.53,104,1.000,1.41,0.00,0.00,1.0,0,22.00,2.57,72,79,21.19,71.44,1.82,8.78,92,2001,95.85,16.1,0.00,0
2.504,-3.12,0.00,14.33,off,off,-5.61,14.58,0.63,on,14.53,106,1.000,1.41,0.00,0.00,1.0,0,22.50,2.55,72,79,21.38,71.69,1.86,9.04,92,1988,95.36,16.1,0.00,0
2.562,-3.12,0.00,14.37,off,off,-5.50,14.58,0.65,on,14.59,106,1.000,1.76,0.00,0.00,1.0,0,22.50,2.54,72,79,21.52,71.86,1.86,9.15,92,1979,95.18,16.1,0.00,0
2.622,-3.12,0.00,14.35,off,off,-5.42,14.58,0.65,on,14.59,106,1.000,1.76,0.00,0.00,1.0,0,22.50,2.53,72,79,21.56,71.97,1.86,9.23,92,1972,95.33,16.1,0.00,0
2.691,-3.12,0.00,14.47,off,off,-5.37,14.58,0.66,on,14.59,106,1.000,1.76,0.00,0.00,1.0,0,22.00,2.09,72,77,21.68,72.06,1.82,9.28,92,1962,95.53,16.1,0.00,0
2.755,-3.12,0.00,14.56,off,off,-5.34,14.58,0.66,on,14.59,106,1.000,1.76,0.00,0.00,1.0,0,21.50,2.51,72,77,21.71,72.11,1.84,9.31,92,1954,94.56,16.1,0.00,0
2.813,-2.34,0.00,14.63,off,off,-5.23,14.59,0.66,on,14.59,106,1.000,1.76,0.00,0.00,1.0,0,21.50,2.49,72,77,21.68,72.22,1.84,9.42,92,1945,93.31,16.1,0.00,0
2.871,-2.34,0.00,14.66,off,off,-5.30,14.59,0.66,on,14.59,106,1.000,1.76,0.00,0.00,1.0,0,21.50,2.49,72,77,21.53,72.19,1.82,9.34,92,1937,50.59,15.0,0.00,0
2.941,-2.34,0.00,14.67,off,off,-6.87,14.58,0.56,on,14.59,106,1.000,0.00,0.00,0.00,1.0,0,15.00,2.05,72,77,17.24,70.97,1.10,7.78,92,1921,0.00,5.5,0.00,0
3.008,-2.34,0.00,14.64,off,off,-8.36,14.61,0.43,on,14.59,106,1.000,0.00,0.00,0.00,1.0,0,14.00,1.62,72,77,12.85,70.65,1.00,6.29,92,1850,0.00,5.5,0.00,0
3.066,-1.56,0.00,14.60,off,off,-9.23,14.36,0.35,on,14.36,106,1.000,0.00,0.00,0.00,1.0,1,15.00,1.50,72,77,10.13,70.78,0.96,5.42,92,1751,0.00,5.5,0.00,0
3.124,-1.56,0.00,14.56,off,off,-9.88,14.39,0.30,on,14.42,106,1.000,0.00,0.00,0.00,1.0,1,15.50,1.44,72,77,8.17,70.63,0.94,4.77,92,1638,0.00,5.1,0.00,0
3.182,-1.56,0.00,14.57,off,off,-10.32,14.40,0.26,on,14.36,106,1.000,0.00,0.00,0.00,1.0,1,16.00,0.96,72,77,6.53,68.96,0.88,4.33,92,1506,0.00,4.7,0.00,0
3.251,-1.56,0.00,14.54,off,off,-10.64,14.41,0.23,on,14.64,106,1.000,0.00,0.00,0.00,1.0,1,9.00,0.87,72,77,5.24,66.59,0.82,4.01,92,1363,0.00,4.7,0.00,0
3.311,-1.56,0.00,14.49,off,off,-10.85,14.41,0.22,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,5.50,0.85,72,77,4.85,65.81,0.88,3.80,92,1315,0.00,5.1,0.00,0
3.375,-3.12,0.00,14.43,off,off,-10.91,14.71,0.22,on,15.11,106,1.000,0.00,0.00,0.00,1.0,1,5.50,0.83,72,77,4.74,65.37,1.02,3.74,92,1297,0.00,5.5,0.00,0
3.442,-3.12,0.00,14.34,off,off,-10.98,14.71,0.22,on,15.11,106,1.000,0.00,0.00,0.00,1.0,1,5.50,0.82,72,77,4.67,65.00,1.04,3.67,92,1274,0.00,5.5,0.00,0
3.511,-3.91,0.00,14.16,off,off,-11.01,14.71,0.22,on,15.11,106,1.000,0.00,0.00,0.00,1.0,1,5.50,0.54,72,75,4.61,64.67,1.02,3.64,92,1249,0.00,5.5,0.00,0
3.578,-4.69,0.00,14.03,off,off,-11.03,14.72,0.22,on,15.05,106,1.000,0.00,0.00,0.00,1.0,1,5.50,0.53,72,75,4.57,64.40,1.02,3.61,92,1226,0.00,5.5,0.00,0
3.646,-5.47,0.00,13.92,off,off,-11.03,14.72,0.22,on,15.05,106,1.000,0.00,0.00,0.00,1.0,1,6.00,0.52,72,75,4.53,64.25,1.00,3.62,92,1211,0.00,5.5,0.00,0
3.704,-6.25,0.00,13.77,off,off,-11.01,14.72,0.22,on,15.05,106,1.000,0.00,0.00,0.00,1.0,1,7.00,0.51,72,75,4.52,64.20,0.98,3.64,92,1197,0.00,5.5,0.00,0
3.761,-7.03,0.00,13.70,off,off,-11.00,14.72,0.22,on,14.93,106,1.000,0.00,0.00,0.00,1.0,1,6.50,0.51,72,75,4.52,64.25,1.02,3.65,92,1185,0.00,5.5,0.00,0
3.821,-7.81,0.00,13.61,off,off,-10.96,14.72,0.22,on,14.93,106,1.000,0.00,0.00,0.00,1.0,1,7.50,0.50,72,75,4.51,64.36,1.00,3.69,92,1172,0.00,5.5,0.00,0
3.881,-7.81,0.00,13.59,off,off,-10.92,14.72,0.23,on,14.87,106,1.000,0.00,0.00,0.00,1.0,1,8.00,0.50,72,75,4.51,64.49,1.00,3.73,92,1154,0.00,5.5,0.00,0
3.945,-7.81,0.00,13.59,off,off,-10.91,14.72,0.23,on,14.87,106,1.000,0.00,0.00,0.00,1.0,1,9.00,0.49,72,75,4.55,64.52,1.04,3.74,92,1151,0.00,5.5,0.00,0
4.010,-7.81,0.00,13.60,off,off,-10.85,14.72,0.23,on,14.87,106,1.000,0.00,0.00,0.00,1.0,1,9.00,0.49,72,75,4.58,64.58,1.02,3.80,92,1149,0.00,5.5,0.00,0
4.068,-8.59,0.00,13.65,off,off,-10.86,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,9.00,0.49,72,75,4.58,64.62,1.02,3.79,92,1143,0.00,5.5,0.00,0
4.125,-8.59,0.00,13.70,off,off,-10.83,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,9.50,0.49,72,75,4.59,64.67,1.02,3.82,92,1140,0.00,5.5,0.00,0
4.182,-8.59,0.00,13.77,off,off,-10.84,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,10.00,0.49,72,75,4.61,64.66,1.02,3.81,92,1139,0.00,5.5,0.00,0
4.262,-8.59,0.00,13.84,off,off,-10.84,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,10.00,0.49,72,77,4.60,64.66,0.98,3.81,92,1137,0.00,5.5,0.00,0
4.315,-8.59,0.00,13.89,off,off,-10.83,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,9.50,0.49,72,77,4.57,64.69,0.96,3.82,92,1134,0.00,5.5,0.00,0
4.371,-8.59,0.00,13.95,off,off,-10.84,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,9.50,0.72,72,77,4.55,64.67,0.98,3.81,92,1131,0.00,5.5,0.00,0
4.438,-8.59,0.00,14.01,off,off,-10.84,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,10.00,0.72,72,77,4.53,64.67,0.98,3.80,92,1129,0.00,5.5,0.00,0
4.494,-8.59,0.00,14.03,off,off,-10.86,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,10.00,0.48,72,77,4.52,64.65,0.96,3.78,92,1130,0.00,5.5,0.00,0
4.551,-8.59,0.00,14.11,off,off,-10.87,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,10.00,0.48,72,77,4.48,64.66,0.94,3.78,92,1122,0.00,5.5,0.00,0
4.611,-8.59,0.00,14.13,off,off,-10.87,14.72,0.23,on,14.76,106,1.000,0.00,0.00,0.00,1.0,1,10.50,0.48,73,77,4.44,64.69,1.00,3.78,92,1114,0.00,5.5,0.00,0
