Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-7.81,0.00,14.58,off,off,-11.02,14.66,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.55,69.13,1.22,3.63,82,1800,0.00,7.9,0.00,0
0.003,-8.59,0.00,14.57,off,off,-10.97,14.66,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.56,69.18,1.18,3.68,82,1800,0.00,7.9,0.00,0
0.026,-8.59,0.00,14.56,off,off,-11.01,14.66,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.57,69.14,1.22,3.64,82,1800,0.00,7.9,0.00,0
0.059,-8.59,0.00,14.55,off,off,-11.01,14.66,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.56,69.14,1.22,3.64,82,1799,0.00,7.9,0.00,0
0.133,-8.59,0.00,14.56,off,off,-10.97,14.66,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.57,69.19,1.20,3.68,82,1801,0.00,7.9,0.00,0
0.189,-8.59,0.00,14.56,off,off,-11.01,14.65,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.58,69.14,1.22,3.63,82,1801,0.00,7.9,0.00,0
0.271,-8.59,0.00,14.58,off,off,-11.00,14.65,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.58,69.16,1.20,3.65,82,1802,0.00,7.9,0.00,0
0.338,-8.59,0.00,14.58,off,off,-11.00,14.65,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.57,69.16,1.22,3.65,82,1802,0.00,7.9,0.00,0
0.415,-8.59,0.00,14.58,off,off,-10.96,14.65,0.25,on,14.64,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.58,69.20,1.22,3.69,82,1803,0.00,7.9,0.00,0
0.466,-8.59,0.00,14.57,off,off,-11.00,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.58,69.17,1.24,3.65,82,1805,0.00,7.9,0.00,0
0.533,-8.59,0.00,14.57,off,off,-10.97,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.57,69.17,1.20,3.68,82,1803,0.00,7.9,0.00,0
0.587,-8.59,0.00,14.58,off,off,-11.03,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.56,69.13,1.24,3.62,82,1801,0.00,7.9,0.00,0
0.675,-8.59,0.00,14.58,off,off,-10.98,14.66,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.53,69.16,1.24,3.67,82,1797,0.00,7.9,0.00,0
0.739,-8.59,0.00,14.58,off,off,-11.00,14.66,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,79,7.53,69.13,1.22,3.65,82,1796,0.00,7.9,0.00,0
0.815,-8.59,0.00,14.58,off,off,-10.99,14.66,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.56,69.15,1.22,3.66,82,1798,0.00,7.9,0.00,0
0.880,-8.59,0.00,14.60,off,off,-10.95,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.57,69.20,1.22,3.70,82,1800,0.00,7.9,0.00,0
0.936,-8.59,0.00,14.60,off,off,-11.00,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.56,69.15,1.20,3.65,82,1801,0.00,7.9,0.00,0
1.011,-8.59,0.00,14.62,off,off,-11.00,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.55,69.16,1.22,3.64,82,1804,0.00,7.9,0.00,0
1.063,-8.59,0.00,14.62,off,off,-10.99,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.54,69.18,1.20,3.66,82,1804,0.00,7.9,0.00,0
1.117,-8.59,0.00,14.63,off,off,-10.97,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.51,69.17,1.22,3.68,82,1804,0.00,7.9,0.00,0
1.176,-8.59,0.00,14.65,off,off,-10.96,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.50,69.22,1.22,3.69,82,1805,0.00,7.9,0.00,0
1.245,-8.59,0.00,14.65,off,off,-11.00,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.49,69.18,1.18,3.65,82,1807,0.00,7.9,0.00,0
1.299,-8.59,0.00,14.67,off,off,-11.00,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.46,69.18,1.20,3.64,82,1809,0.00,7.9,0.00,0
1.377,-8.59,0.00,14.67,off,off,-10.98,14.65,0.25,on,14.70,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.42,69.21,1.20,3.67,82,1810,0.00,7.9,0.00,0
1.436,-8.59,0.00,14.67,off,off,-11.01,14.65,0.23,on,14.82,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.38,69.18,1.22,3.64,82,1809,0.00,7.9,0.00,0
1.512,-8.59,0.00,14.70,off,off,-11.00,14.65,0.23,on,14.82,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.37,69.18,1.24,3.65,82,1811,0.00,7.9,0.00,0
1.557,-8.59,0.00,14.70,off,off,-10.98,14.65,0.23,on,14.87,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.38,69.21,1.20,3.66,82,1812,0.00,7.9,0.00,0
1.637,-8.59,0.00,14.70,off,off,-11.03,14.65,0.23,on,14.87,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.36,69.19,1.22,3.62,82,1807,0.00,7.9,0.00,0
1.691,-8.59,0.00,14.71,off,off,-11.00,14.65,0.23,on,14.87,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.38,69.18,1.24,3.65,82,1806,0.00,7.9,0.00,0
1.747,-8.59,0.00,14.71,off,off,-11.03,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.41,69.14,1.22,3.62,82,1804,0.00,7.9,0.00,0
1.822,-8.59,0.00,14.75,off,off,-10.99,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.43,69.17,1.24,3.66,82,1801,0.00,7.9,0.00,0
1.877,-7.81,0.00,14.74,off,off,-11.03,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.46,69.14,1.20,3.62,82,1804,0.00,7.9,0.00,0
1.934,-7.81,0.00,14.81,off,off,-11.02,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.46,69.14,1.20,3.63,82,1804,0.00,7.9,0.00,0
1.992,-7.81,0.00,14.87,off,off,-11.01,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.46,69.16,1.24,3.64,82,1804,0.00,7.9,0.00,0
2.049,-7.81,0.00,14.88,off,off,-10.98,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.48,69.17,1.20,3.67,82,1804,0.00,7.9,0.00,0
2.119,-7.03,0.00,14.90,off,off,-11.01,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,79,7.49,69.17,1.20,3.64,82,1807,0.00,7.9,0.00,0
2.176,-7.03,0.00,14.87,off,off,-10.98,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.49,69.19,1.22,3.66,82,1809,0.00,7.9,0.00,0
2.245,-7.03,0.00,14.83,off,off,-10.98,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.48,69.22,1.20,3.67,82,1810,0.00,7.9,0.00,0
2.299,-7.03,0.00,14.83,off,off,-10.99,14.65,0.25,on,14.76,91,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,79,7.47,69.22,1.20,3.66,82,1814,0.00,7.9,0.00,0
