Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,5.47,-5.47,14.43,off,off,-11.12,13.21,0.21,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,2.00,0.51,50,61,2.77,66.26,0.76,3.53,168,789,0.00,3.9,0.00,0
0.004,5.47,-5.47,14.34,off,off,-11.08,13.21,0.21,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,2.00,0.67,50,61,2.78,66.52,0.80,3.57,168,783,0.00,3.9,0.00,0
0.008,5.47,-5.47,14.28,off,off,-11.02,13.21,0.21,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,2.00,0.66,50,61,2.80,66.92,0.80,3.63,168,772,0.00,3.9,0.00,0
0.053,5.47,-5.47,14.24,off,off,-10.96,13.21,0.22,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,2.00,0.65,50,61,2.80,67.26,0.80,3.69,168,761,0.00,3.9,0.00,0
0.117,5.47,-5.47,14.20,off,off,-10.94,13.21,0.22,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,1.50,0.65,50,61,2.82,67.27,0.82,3.71,168,760,0.00,3.9,0.00,0
0.184,5.47,-5.47,14.16,off,off,-10.88,13.21,0.22,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,1.50,0.65,50,61,2.84,67.22,0.82,3.76,168,758,0.00,3.9,0.00,0
0.269,5.47,-5.47,14.12,off,off,-10.83,13.21,0.22,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,1.50,0.65,50,61,2.85,67.16,0.80,3.82,168,757,0.00,3.9,0.00,0
0.314,5.47,-5.47,14.09,off,off,-10.81,13.21,0.22,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,1.50,0.65,50,61,2.87,66.96,0.80,3.83,168,762,0.00,3.9,0.00,0
0.396,6.25,-5.47,14.05,off,off,-10.80,13.21,0.22,on,13.20,183,1.000,0.00,0.00,0.00,1.0,3,1.50,0.65,50,61,2.87,66.84,0.78,3.85,168,764,0.00,3.5,0.00,0
0.455,5.47,-5.47,14.03,off,off,-10.81,13.28,0.22,on,13.25,183,1.000,0.00,0.00,0.00,1.0,3,1.50,0.65,50,61,2.88,66.69,0.76,3.84,168,769,0.00,3.5,0.00,0
0.525,5.47,-5.47,13.99,off,off,-10.83,13.28,0.22,on,13.25,183,1.000,0.00,0.00,0.00,1.0,2,6.50,0.66,50,61,2.88,66.27,0.70,3.82,168,781,0.00,3.5,0.00,0
0.593,6.25,-5.47,13.96,off,off,-10.87,13.28,0.21,on,13.25,183,1.000,0.00,0.00,0.00,1.0,2,6.50,0.67,50,61,2.85,66.00,0.62,3.78,168,788,0.00,3.1,0.00,0
0.657,6.25,-5.47,13.94,off,off,-10.92,13.28,0.21,on,13.25,183,1.000,0.00,0.00,0.00,1.0,2,7.00,0.68,50,61,2.85,65.59,0.62,3.73,168,805,0.00,3.1,0.00,0
0.735,6.25,-5.47,13.91,off,off,-11.01,13.28,0.19,on,13.25,183,1.000,0.00,0.00,0.00,1.0,2,7.00,0.52,50,61,2.79,65.64,0.64,3.64,168,810,0.00,3.1,0.00,0
0.818,6.25,-5.47,13.86,off,off,-11.11,13.28,0.19,on,13.25,183,1.000,0.00,0.00,0.00,1.0,2,7.00,0.52,50,61,2.74,65.68,0.68,3.54,168,817,0.00,3.1,0.00,0
0.863,6.25,-5.47,13.83,off,off,-11.17,13.28,0.19,on,13.25,183,1.000,0.00,0.00,0.00,1.0,2,7.00,0.53,50,61,2.70,65.70,0.66,3.47,168,822,0.00,3.1,0.00,0
0.937,6.25,-5.47,13.83,off,off,-11.25,13.28,0.19,on,13.25,183,1.000,0.00,0.00,0.00,1.0,2,7.00,0.53,50,61,2.67,65.73,0.66,3.40,168,825,0.00,3.1,0.00,0
