Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-8.59,-7.03,13.88,off,off,-6.95,14.61,0.63,on,11.91,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.15,46,48,19.34,71.50,1.74,7.70,51,1799,0.00,14.2,0.00,0
0.004,-8.59,-7.03,13.98,off,off,-6.84,14.61,0.65,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.15,46,48,19.40,71.58,1.74,7.80,51,1795,0.00,14.2,0.00,0
0.038,-9.38,-7.03,14.12,off,off,-6.76,14.61,0.65,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.14,46,48,19.41,71.74,1.72,7.89,51,1771,0.00,14.2,0.00,0
0.040,-9.38,-7.03,14.14,off,off,-6.75,14.61,0.66,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.14,46,48,19.59,71.70,1.74,7.90,51,1778,0.00,14.2,0.00,0
0.053,-9.38,-7.03,14.17,off,off,-6.79,14.61,0.66,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.14,46,48,19.60,71.72,1.72,7.86,51,1772,0.00,14.2,0.00,0
0.138,-9.38,-7.03,14.27,off,off,-6.71,14.61,0.66,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.14,46,48,19.65,71.71,1.76,7.94,51,1782,0.00,14.2,0.00,0
0.213,-9.38,-7.03,14.26,off,off,-6.75,14.61,0.66,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.00,1.14,46,48,19.61,71.71,1.70,7.89,51,1778,0.00,14.2,0.00,0
0.292,-9.38,-7.03,14.28,off,off,-6.79,14.61,0.66,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.13,46,48,19.57,71.71,1.74,7.86,51,1773,0.00,14.2,0.00,0
0.375,-9.38,-7.03,14.38,off,off,-6.72,14.61,0.66,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.00,1.13,46,48,19.71,71.75,1.72,7.93,51,1776,0.00,14.2,0.00,0
0.441,-9.38,-7.03,14.44,off,off,-6.70,14.61,0.66,on,11.87,50,1.000,0.00,0.00,0.00,2.0,0,-9.00,1.13,46,48,19.79,71.75,1.74,7.95,51,1775,0.00,14.2,0.00,0
0.519,-9.38,-7.03,14.42,off,off,-6.63,14.61,0.66,on,11.87,50,1.000,0.00,0.00,0.00,2.0,0,-9.00,1.14,46,48,19.95,71.72,1.76,8.02,51,1788,0.00,14.2,0.00,0
0.604,-10.16,-7.03,14.36,off,off,-6.71,14.61,0.66,on,11.87,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.14,46,48,19.92,71.69,1.72,7.94,51,1785,0.00,14.2,0.00,0
0.659,-10.16,-7.03,14.35,off,off,-6.71,14.61,0.66,on,11.87,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.15,46,48,19.95,71.66,1.72,7.94,51,1791,0.00,14.2,0.00,0
0.747,-10.16,-7.03,14.33,off,off,-6.67,14.61,0.66,on,11.87,50,1.000,0.00,0.00,0.00,2.0,0,-9.00,1.13,46,48,19.77,71.79,1.76,7.98,51,1768,0.00,14.6,0.00,0
0.802,-10.16,-7.03,14.40,off,off,-6.66,14.60,0.67,on,11.83,50,1.000,0.00,0.00,0.00,2.0,0,-9.50,1.13,46,48,20.17,71.75,1.74,7.99,51,1778,0.00,14.6,0.00,0
0.860,-9.38,-7.03,14.43,off,off,-4.29,14.34,0.85,on,11.20,50,1.000,0.00,0.00,0.00,2.0,0,-10.00,1.13,46,48,25.41,73.25,2.22,10.36,51,1767,0.00,22.4,0.00,0
0.937,-7.81,-7.03,14.37,off,off,-3.40,14.12,0.88,on,11.04,50,1.000,0.00,0.00,0.00,2.0,0,-13.50,1.54,46,48,26.78,73.88,2.10,11.25,51,1809,0.00,20.9,0.00,0
1.003,-8.59,-7.03,14.26,off,off,-3.42,14.12,0.88,on,11.04,50,1.000,0.00,0.00,0.00,2.0,0,-13.00,1.56,46,48,27.19,73.87,1.98,11.22,51,1841,0.00,20.1,0.00,0
1.067,-8.59,-7.03,14.41,off,off,-3.52,14.12,0.88,on,11.04,50,1.000,0.00,0.00,0.00,2.0,0,-13.50,1.18,46,48,27.12,73.80,1.98,11.13,51,1845,0.00,19.7,0.00,0
1.126,-7.81,-7.03,14.78,off,off,-3.68,14.20,0.88,on,11.07,50,1.000,0.00,0.00,0.00,2.0,0,-12.50,1.58,46,48,27.04,73.68,1.98,10.97,51,1842,0.00,19.3,0.00,0
1.193,-5.47,-7.03,15.12,off,off,-3.66,14.20,0.87,on,11.10,50,1.000,0.00,0.00,0.00,2.0,0,-12.00,1.57,46,48,26.90,73.67,2.00,10.99,51,1841,0.00,19.3,0.00,0
1.250,-3.91,-7.03,15.42,off,off,-3.79,14.20,0.87,on,11.10,50,1.000,0.00,0.00,0.00,2.0,0,-11.50,1.58,46,48,27.12,73.59,1.98,10.86,51,1853,0.00,19.3,0.00,0
1.337,-2.34,-7.03,15.36,off,off,-3.84,14.20,0.87,on,11.10,50,1.000,0.00,0.00,0.00,2.0,0,-11.50,1.58,46,48,27.13,73.55,1.98,10.81,51,1857,0.00,18.9,0.00,0
1.392,-3.91,-7.03,14.98,off,off,-3.86,14.20,0.87,on,11.10,50,1.000,0.00,0.00,0.00,2.0,0,-11.50,1.59,46,48,27.18,73.53,2.00,10.79,51,1860,0.00,18.9,0.00,0
1.449,-3.91,-7.03,14.86,off,off,-3.79,14.20,0.87,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-11.50,1.60,46,48,27.66,73.59,2.02,10.86,51,1887,0.00,18.9,0.00,0
1.538,-3.91,-7.03,14.74,off,off,-3.89,14.20,0.87,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-13.50,1.61,46,48,27.68,73.50,2.02,10.76,51,1894,0.00,18.9,0.00,0
1.591,-3.91,-7.03,14.77,off,off,-3.93,14.20,0.87,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.61,46,48,27.66,73.47,1.98,10.72,51,1893,0.00,18.9,0.00,0
1.669,-3.12,-7.03,14.55,off,off,-3.90,14.20,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-12.50,1.60,46,48,27.62,73.49,2.00,10.74,51,1881,0.00,19.3,0.00,0
1.731,-3.12,-7.03,14.63,off,off,-3.83,14.12,0.88,on,11.10,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,28.13,73.56,2.02,10.82,51,1910,0.00,18.9,0.00,0
1.816,-3.12,-7.03,14.65,off,off,-3.88,14.20,0.87,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,27.88,73.51,1.98,10.77,51,1905,0.00,18.9,0.00,0
1.870,-3.12,-7.03,14.54,off,off,-3.93,14.20,0.87,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,27.82,73.47,1.98,10.72,51,1903,0.00,18.9,0.00,0
1.949,-2.34,-7.03,14.53,off,off,-3.82,14.12,0.88,on,11.10,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,27.99,73.57,2.02,10.83,51,1907,0.00,18.9,0.00,0
2.028,-2.34,-7.03,14.51,off,off,-3.84,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,28.04,73.50,2.00,10.81,51,1907,0.00,19.3,0.00,0
2.081,-1.56,-7.03,14.50,off,off,-3.82,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,28.30,73.56,2.02,10.83,51,1915,0.00,18.9,0.00,0
2.158,-1.56,-7.03,14.50,off,off,-3.78,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.64,46,48,28.25,73.59,2.02,10.87,51,1917,0.00,18.9,0.00,0
2.229,-1.56,-7.03,14.43,off,off,-3.86,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,28.28,73.53,2.00,10.79,51,1919,0.00,18.9,0.00,0
2.305,-1.56,-7.03,14.35,off,off,-3.83,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.64,46,48,28.31,73.56,2.04,10.82,51,1921,0.00,18.9,0.00,0
2.369,-1.56,-7.03,14.38,off,off,-3.77,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.64,46,48,28.36,73.60,1.98,10.88,51,1922,0.00,18.9,0.00,0
2.456,-0.78,-7.03,14.27,off,off,-3.90,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.65,46,48,28.37,73.49,1.98,10.75,51,1934,0.00,18.9,0.00,0
2.511,-1.56,-7.03,14.28,off,off,-3.82,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.65,46,48,28.29,73.55,2.00,10.83,51,1929,0.00,18.9,0.00,0
2.589,-1.56,-7.03,14.31,off,off,-3.83,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,28.22,73.56,2.04,10.82,51,1914,0.00,19.3,0.00,0
2.654,-0.78,-7.03,14.27,off,off,-3.73,14.12,0.88,on,11.13,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.63,46,48,28.23,73.64,1.96,10.91,51,1907,0.00,18.9,0.00,0
2.720,-0.78,-7.03,14.31,off,off,-3.75,14.12,0.88,on,11.17,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.64,46,48,28.23,73.63,2.02,10.90,51,1914,0.00,18.9,0.00,0
2.764,-0.78,-7.03,14.28,off,off,-3.66,14.12,0.88,on,11.17,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.64,46,48,28.37,73.68,2.02,10.99,51,1920,0.00,18.9,0.00,0
2.822,-0.78,-7.03,14.29,off,off,-3.79,14.12,0.88,on,11.17,50,1.000,0.00,0.00,0.00,2.0,0,-14.00,1.64,46,48,28.33,73.60,2.00,10.86,51,1925,0.00,18.9,0.00,0
