Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,0.00,-3.12,14.49,off,off,-11.91,14.61,0.13,off,14.99,169,1.000,0.00,0.00,0.00,1.0,1,18.00,0.91,81,90,4.79,71.78,1.02,2.74,154,2140,4.38,5.9,0.00,0
0.016,0.00,-3.12,14.68,off,off,-11.97,14.61,0.13,off,14.99,169,1.000,0.00,0.00,0.00,1.0,1,18.00,0.91,81,90,4.69,71.50,1.06,2.68,154,2116,3.25,5.9,0.00,0
0.079,0.00,-3.12,15.39,off,off,-11.97,14.60,0.13,off,14.99,169,1.000,0.00,0.00,0.00,1.0,1,18.00,0.88,81,90,4.51,70.86,1.02,2.67,154,2063,1.50,5.9,0.00,0
0.186,0.00,-3.12,15.70,off,off,-11.94,14.60,0.13,off,14.99,169,1.000,0.00,0.00,0.00,1.0,1,18.00,0.88,81,90,4.49,70.72,1.02,2.71,154,2050,0.62,5.9,0.00,0
0.232,0.00,-3.12,16.49,off,off,-11.94,14.60,0.13,off,14.99,169,1.000,0.00,0.00,0.00,1.0,1,18.00,0.87,81,90,4.45,70.53,1.04,2.71,154,2034,0.00,5.9,0.00,0
0.309,0.00,-3.12,17.52,off,off,-11.95,14.60,0.13,off,14.99,169,1.000,0.00,0.00,0.00,1.0,1,18.00,0.86,81,90,4.43,70.35,1.02,2.69,154,2019,0.00,5.9,0.00,0
0.377,0.00,-3.12,17.57,off,off,-11.91,14.61,0.13,off,15.05,169,1.000,0.00,0.00,0.00,1.0,1,18.00,0.85,81,90,4.32,69.90,1.04,2.74,154,1976,0.00,5.5,0.00,0
0.452,0.00,-3.12,17.82,off,off,-11.94,14.61,0.13,off,15.05,169,1.000,0.00,0.00,0.00,1.0,1,17.50,0.84,81,90,4.23,69.65,0.98,2.71,154,1947,0.00,5.5,0.00,0
0.529,0.00,-3.12,18.70,off,off,-11.90,14.63,0.13,off,15.11,169,1.000,0.00,0.00,0.00,1.0,1,17.00,0.82,81,90,4.19,69.45,0.98,2.75,154,1925,0.00,5.5,0.00,0
0.597,0.00,-3.12,19.34,off,off,-11.86,14.63,0.13,off,15.11,169,1.000,0.00,0.00,0.00,1.0,1,17.00,0.81,81,90,4.15,69.30,1.00,2.79,154,1907,3.16,5.5,0.00,0
0.667,0.00,-3.12,19.92,off,off,-11.88,14.64,0.13,off,15.17,169,1.000,0.00,0.00,0.00,1.0,1,17.00,0.81,81,90,4.14,69.17,1.00,2.77,154,1893,11.34,5.5,0.00,0
0.787,0.00,-3.12,20.91,off,off,-11.85,14.64,0.13,off,15.17,169,1.000,0.00,0.00,0.00,1.0,1,17.00,0.80,81,90,4.13,68.97,1.00,2.79,154,1871,15.59,5.9,0.00,0
0.841,0.00,-3.12,22.20,off,off,-11.68,14.65,0.13,off,15.24,169,1.000,0.00,0.00,0.00,1.0,1,18.50,0.78,81,90,4.36,68.64,1.10,2.97,154,1833,21.49,6.7,0.00,0
