Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-1.56,-4.69,14.19,off,off,-11.78,14.46,0.18,on,14.99,72,1.000,0.00,0.00,0.00,1.0,1,21.00,0.75,48,48,5.63,68.09,1.08,2.87,58,1771,0.00,6.3,0.00,0
0.003,-1.56,-4.69,14.29,off,off,-11.79,14.45,0.18,on,14.93,72,1.000,0.00,0.00,0.00,1.0,1,21.50,0.78,46,48,5.82,68.61,1.12,2.86,58,1829,0.00,6.3,0.00,0
0.007,-1.56,-4.69,14.37,off,off,-11.82,14.43,0.18,on,14.87,72,1.000,0.00,0.00,0.00,1.0,1,22.00,0.80,48,48,5.90,68.97,1.10,2.82,58,1871,0.00,6.3,0.00,0
0.031,-0.78,-4.69,14.45,off,off,-11.84,14.43,0.18,on,14.87,72,1.000,0.00,0.00,0.00,1.0,1,22.00,0.79,48,48,5.76,68.82,1.08,2.81,58,1853,0.00,6.3,0.00,0
0.131,-0.78,-4.69,14.51,off,off,-11.85,14.51,0.18,on,15.17,72,1.000,0.00,0.00,0.00,1.0,1,21.50,0.77,48,48,5.55,68.43,1.08,2.80,58,1809,0.00,6.3,0.00,0
0.205,-0.78,-4.69,14.56,off,off,-11.80,14.60,0.18,on,15.24,72,1.000,0.00,0.00,0.00,1.0,1,21.00,0.76,46,48,5.49,68.23,1.08,2.85,58,1787,0.00,6.3,0.00,0
0.263,-1.56,-4.69,14.57,off,off,-11.82,14.65,0.18,on,15.17,72,1.000,0.00,0.00,0.00,1.0,1,21.50,0.78,48,48,5.65,68.68,1.10,2.83,59,1838,0.00,6.3,0.00,0
0.368,-1.56,-4.69,14.57,off,off,-11.80,14.64,0.18,on,15.11,72,1.000,0.00,0.00,0.00,1.0,1,22.00,0.80,46,48,5.81,69.00,1.08,2.84,59,1874,0.00,6.3,0.00,0
0.401,-1.56,-4.69,14.55,off,off,-11.80,14.64,0.18,on,15.11,72,1.000,0.00,0.00,0.00,1.0,1,22.00,0.80,48,48,5.78,68.98,1.10,2.85,59,1872,0.00,6.3,0.00,0
0.482,-1.56,-4.69,14.58,off,off,-11.80,14.65,0.18,on,15.17,72,1.000,0.00,0.00,0.00,1.0,1,22.00,0.79,48,48,5.61,68.59,1.12,2.85,59,1827,0.00,6.3,0.00,0
0.578,-1.56,-4.69,14.60,off,off,-11.80,14.66,0.18,on,15.24,72,1.000,0.00,0.00,0.00,1.0,1,21.50,0.77,48,48,5.46,68.17,1.12,2.85,59,1780,0.00,6.3,0.00,0
0.629,-1.56,-4.69,14.61,off,off,-11.77,14.66,0.18,on,15.24,72,1.000,0.00,0.00,0.00,1.0,1,21.00,0.75,48,48,5.40,67.93,1.12,2.88,59,1753,0.00,6.3,0.00,0
