Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,0.00,0.00,14.62,off,off,-10.02,14.39,0.32,on,14.42,75,1.000,0.00,0.00,0.00,1.0,2,26.50,1.79,46,46,11.79,71.12,1.52,4.63,61,2094,52.79,11.4,0.00,0
0.015,0.00,0.00,14.62,off,off,-9.72,14.39,0.35,on,14.42,75,1.000,0.00,0.00,0.00,1.0,2,26.00,2.21,46,46,12.54,70.76,1.54,4.93,61,2068,59.53,11.8,0.00,0
0.018,0.00,0.00,14.61,off,off,-9.27,14.38,0.40,on,14.36,75,1.000,0.00,0.00,0.00,1.0,2,24.50,2.20,46,46,14.17,70.72,1.64,5.38,61,2066,76.51,13.4,0.00,0
0.068,0.00,0.00,14.55,off,off,-8.52,14.35,0.47,on,14.31,75,1.000,0.00,0.00,0.00,1.0,2,24.00,2.69,46,46,16.75,71.23,1.74,6.13,61,2102,90.14,15.0,0.00,0
0.130,0.00,0.00,14.29,off,off,-7.72,14.33,0.53,on,14.31,75,1.000,0.00,0.00,0.00,1.0,2,23.00,2.70,46,46,19.07,71.50,1.82,6.93,61,2101,90.94,15.4,0.00,0
0.206,-1.56,0.00,14.11,off,off,-7.27,14.34,0.57,on,14.31,75,1.000,0.35,0.00,0.00,1.0,2,23.50,2.67,45,46,20.15,71.39,1.84,7.38,61,2089,94.15,16.1,0.00,0
0.291,-1.56,0.00,13.98,off,off,-7.00,14.64,0.59,on,14.64,75,1.000,0.70,0.00,0.00,1.0,2,22.50,2.68,45,46,21.42,71.93,1.84,7.65,61,2105,99.09,16.1,0.00,0
0.355,-3.91,0.00,14.02,off,off,-6.37,14.64,0.63,on,14.64,75,1.000,1.41,0.00,0.00,1.0,2,23.00,2.73,46,46,22.90,72.66,1.94,8.28,61,2129,101.25,16.9,0.00,0
0.434,-3.91,0.00,14.14,off,off,-6.17,14.65,0.66,on,14.64,75,1.000,1.76,0.00,0.00,1.0,2,22.50,2.72,46,46,23.42,72.86,1.86,8.48,61,2127,101.66,16.9,0.00,0
0.541,-3.12,0.00,14.45,off,off,-6.10,14.65,0.66,on,14.64,75,1.000,1.76,0.00,0.00,1.0,2,22.50,2.30,46,48,23.90,73.27,1.84,8.55,62,2153,103.83,16.9,0.00,0
0.600,-2.34,0.00,14.69,off,off,-6.02,14.64,0.66,on,14.59,75,1.000,1.76,0.00,0.00,1.0,2,21.50,2.78,45,48,24.36,73.60,1.88,8.63,62,2175,103.80,16.9,0.00,0
0.669,-1.56,0.00,14.76,off,off,-5.97,14.63,0.67,on,14.59,75,1.000,1.76,0.00,0.00,1.0,2,21.50,2.78,45,48,24.46,73.59,1.90,8.68,62,2171,105.01,17.3,0.00,0
0.727,-1.56,0.00,14.75,off,off,-5.90,14.63,0.67,on,14.59,75,1.000,1.76,0.00,0.00,1.0,2,22.00,2.79,46,48,25.00,73.93,1.96,8.75,62,2192,105.36,17.3,0.00,0
0.785,0.00,0.00,14.74,off,off,-5.88,14.32,0.69,on,14.31,75,1.000,1.76,0.00,0.00,1.0,2,21.50,2.84,45,48,25.45,74.18,1.94,8.77,62,2215,107.25,17.3,0.00,0
0.863,0.00,0.00,14.69,off,off,-5.93,14.32,0.69,on,14.31,75,1.000,2.11,0.00,0.00,1.0,2,21.50,2.84,45,48,25.69,74.24,1.94,8.72,62,2218,105.66,17.3,0.00,0
0.943,0.00,0.00,14.59,off,off,-5.94,14.32,0.69,on,14.31,75,1.000,2.11,0.00,0.00,1.0,2,21.50,2.85,45,48,25.93,74.45,1.92,8.71,62,2231,106.56,17.3,0.00,0
1.000,0.00,0.00,14.45,off,off,-5.90,14.30,0.70,on,14.20,75,1.000,2.11,0.00,0.00,1.0,2,21.50,2.89,45,48,26.37,74.79,1.90,8.75,62,2258,107.99,17.3,0.00,0
1.056,-0.78,0.00,14.38,off,off,-5.84,14.30,0.70,on,14.20,75,1.000,2.11,0.00,0.00,1.0,2,21.50,2.90,45,48,26.56,74.90,1.92,8.81,62,2269,110.50,17.3,0.00,0
1.134,-0.78,0.00,14.32,off,off,-5.87,14.30,0.70,on,14.20,75,1.000,2.11,0.00,0.00,1.0,2,22.00,2.91,45,46,27.08,75.10,1.96,8.78,62,2281,114.11,18.1,0.00,0
1.213,-2.34,0.00,14.28,off,off,-5.74,14.59,0.71,on,14.53,75,1.000,2.11,0.00,0.00,1.0,2,21.50,2.95,45,46,27.55,75.53,1.92,8.91,62,2309,113.28,17.7,0.00,0
1.269,-2.34,0.00,14.26,off,off,-5.79,14.59,0.71,on,14.53,75,1.000,2.11,0.00,0.00,1.0,2,21.50,2.96,45,46,27.51,75.57,2.00,8.86,62,2315,113.91,18.1,0.00,0
1.327,-2.34,0.00,14.27,off,off,-5.70,14.59,0.71,on,14.53,75,1.000,2.11,0.00,0.00,1.0,2,21.50,2.96,45,46,27.61,75.70,2.00,8.95,62,2319,115.75,18.1,0.00,0
1.385,-2.34,0.00,14.42,off,off,-5.77,14.59,0.71,on,14.53,75,1.000,2.11,0.00,0.00,1.0,2,21.50,3.00,45,46,28.02,75.94,2.00,8.88,62,2343,115.35,18.9,0.00,0
1.464,-2.34,0.00,14.53,off,off,-5.45,14.58,0.72,on,14.42,75,1.000,2.11,0.00,0.00,1.0,2,21.50,3.01,45,46,28.78,76.27,2.02,9.20,62,2360,116.22,18.9,0.00,0
1.522,-1.56,0.00,14.57,off,off,-5.47,14.58,0.72,on,14.42,77,1.000,2.46,0.00,0.00,1.0,2,20.50,3.03,45,46,29.08,76.51,2.00,9.18,62,2374,115.22,18.9,0.00,0
1.576,-1.56,0.00,14.61,off,off,-5.39,14.58,0.72,on,14.47,77,1.000,2.46,0.00,0.00,1.0,2,21.50,3.05,45,46,29.30,76.63,2.02,9.26,62,2386,115.41,18.9,0.00,0
1.660,-1.56,0.00,14.63,off,off,-5.11,14.58,0.74,on,14.47,77,1.000,2.11,0.00,0.00,1.0,2,21.50,3.07,45,46,29.60,76.89,2.06,9.54,62,2402,111.60,18.9,0.00,0
1.727,0.00,0.00,14.65,off,off,-5.40,14.26,0.72,on,14.20,77,1.000,1.76,0.00,0.00,1.0,2,22.00,3.08,45,46,29.14,76.69,1.94,9.24,62,2412,114.19,18.9,0.00,0
1.784,0.00,0.00,14.67,off,off,-5.31,14.26,0.71,on,14.20,77,1.000,0.35,-1.41,0.00,1.0,2,21.00,3.60,45,46,29.10,76.65,2.04,9.34,62,2421,113.79,18.9,0.00,0
1.859,0.00,0.00,14.57,off,off,-5.17,14.25,0.71,on,14.20,77,1.000,0.35,-1.41,0.00,1.0,2,21.00,3.64,45,46,29.41,76.37,2.04,9.48,62,2455,114.26,18.9,0.00,0
1.913,0.00,0.00,14.48,off,off,-5.24,14.25,0.71,on,14.20,77,1.000,0.35,-1.41,0.00,1.0,2,20.50,3.16,45,46,29.47,76.22,2.00,9.41,62,2471,112.40,18.9,0.00,0
1.977,0.00,0.00,14.46,off,off,-5.33,14.25,0.71,on,14.20,77,1.000,0.35,-1.41,0.00,1.0,2,20.50,3.16,45,46,29.22,76.24,2.02,9.32,62,2467,112.47,18.9,0.00,0
2.034,0.78,0.00,14.46,off,off,-5.39,14.56,0.70,on,14.25,77,1.000,0.35,-1.41,0.00,1.0,2,21.50,3.16,45,46,29.23,76.15,1.98,9.26,62,2477,113.10,18.9,0.00,0
2.114,-0.78,0.00,14.49,off,off,-5.45,14.55,0.70,on,14.53,77,1.000,0.35,-1.41,0.00,1.0,2,21.50,3.21,45,46,29.51,75.81,2.06,9.20,63,2510,115.31,18.9,0.00,0
2.167,-0.78,0.00,14.54,off,off,-5.40,14.55,0.70,on,14.53,77,1.000,0.35,-1.41,0.00,1.0,2,21.50,3.23,45,46,29.87,75.67,2.02,9.25,63,2527,114.25,18.9,0.00,0
2.226,0.00,0.00,14.62,off,off,-5.40,14.54,0.71,on,14.47,77,1.000,0.35,-1.41,0.00,1.0,2,20.50,3.23,45,46,29.99,75.69,2.08,9.25,63,2525,115.06,19.3,0.00,0
2.311,0.00,0.00,14.71,off,off,-5.39,14.54,0.71,on,14.47,77,1.000,0.00,-1.41,0.00,1.0,2,20.50,3.24,45,46,30.28,75.53,2.02,9.26,63,2543,114.84,19.3,0.00,0
2.364,0.78,0.00,14.74,off,off,-5.35,14.23,0.71,on,14.15,77,1.000,0.00,-1.41,0.00,1.0,2,20.00,3.28,45,46,30.77,75.32,2.06,9.30,63,2568,119.53,19.7,0.00,0
2.434,2.34,0.00,14.69,off,off,-5.19,14.23,0.72,on,14.15,77,1.000,0.35,-1.41,0.00,1.0,2,20.50,3.84,45,46,31.27,75.29,2.10,9.46,63,2573,120.24,19.7,0.00,0
2.514,2.34,0.00,14.59,off,off,-5.09,14.23,0.72,on,14.15,77,1.000,0.35,-1.41,0.00,1.0,2,20.50,3.31,45,46,31.54,75.15,2.10,9.56,63,2590,121.58,20.1,0.00,0
2.568,2.34,0.00,14.48,off,off,-5.04,14.21,0.72,on,14.15,77,1.000,0.00,-1.41,0.00,1.0,2,20.00,3.88,45,46,31.92,74.95,2.08,9.61,63,2611,121.62,20.1,0.00,0
2.625,2.34,0.00,14.42,off,off,-4.80,14.21,0.72,on,14.15,77,1.000,0.35,-1.41,0.00,1.0,2,20.50,3.92,45,46,32.21,74.86,2.12,9.85,63,2623,121.85,20.1,0.00,0
2.705,0.78,0.00,14.46,off,off,-4.83,14.52,0.74,on,14.42,77,1.000,0.35,-1.41,0.00,1.0,2,20.00,3.93,45,46,32.52,74.72,2.12,9.82,63,2637,120.84,20.1,0.00,0
2.770,0.78,0.00,14.44,off,off,-4.88,14.50,0.74,on,14.42,77,1.000,0.70,-1.05,0.00,1.0,2,20.00,3.39,45,46,32.72,74.53,2.12,9.77,63,2656,120.54,20.1,0.00,0
2.830,0.78,0.00,14.51,off,off,-5.06,14.50,0.74,on,14.42,77,1.000,0.70,-1.05,0.00,1.0,2,19.50,3.42,45,46,32.87,74.42,2.14,9.59,63,2668,120.75,20.1,0.00,0
2.888,1.56,0.00,14.60,off,off,-4.84,14.50,0.74,on,14.42,77,1.000,0.70,-1.05,0.00,1.0,2,20.50,3.99,45,46,33.16,74.26,2.10,9.81,63,2685,120.58,20.1,0.00,0
2.945,1.56,0.00,14.61,off,off,-4.93,14.50,0.74,on,14.42,77,1.000,0.70,-1.05,0.00,1.0,2,20.00,3.45,45,46,33.38,74.14,2.14,9.72,63,2698,121.09,20.1,0.00,0
3.013,1.56,0.00,14.61,off,off,-5.06,14.49,0.74,on,14.42,77,1.000,0.70,-1.05,0.00,1.0,2,20.00,4.04,45,46,33.60,74.01,2.12,9.59,63,2712,122.91,20.1,0.00,0
3.072,3.12,0.00,14.58,off,off,-4.84,14.19,0.74,on,14.09,77,1.000,0.70,-1.05,0.00,1.0,2,20.00,3.49,45,46,33.96,73.81,2.14,9.81,63,2732,123.43,20.5,0.00,0
3.130,3.12,0.00,14.49,off,off,-4.99,14.19,0.74,on,14.09,77,1.000,1.05,-1.05,0.00,1.0,2,20.00,4.09,45,46,34.26,73.66,2.16,9.66,63,2748,122.75,20.5,0.00,0
3.188,3.12,0.00,14.40,off,off,-4.85,14.17,0.75,on,14.09,77,1.000,1.05,-1.05,0.00,1.0,2,20.50,4.11,45,46,34.44,73.59,2.16,9.80,63,2755,121.85,20.1,0.00,0
3.257,1.56,0.00,14.34,off,off,-5.04,14.48,0.74,on,14.42,77,1.000,1.05,-1.05,0.00,1.0,2,20.00,4.13,45,46,34.63,73.46,2.14,9.61,63,2771,122.40,20.5,0.00,0
3.334,1.56,0.00,14.26,off,off,-4.89,14.48,0.75,on,14.42,77,1.000,1.05,-1.05,0.00,1.0,2,20.50,3.56,45,46,34.81,73.31,2.12,9.75,63,2785,122.19,20.5,0.00,0
3.378,0.78,0.00,14.32,off,off,-5.06,14.47,0.74,on,14.42,77,1.000,0.70,-1.05,0.00,1.0,2,20.50,3.57,45,46,34.96,73.19,2.16,9.58,63,2803,124.79,20.5,0.00,0
3.435,1.56,0.00,14.42,off,off,-4.93,14.47,0.75,on,14.36,77,1.000,0.70,-1.05,0.00,1.0,2,20.50,3.61,45,46,35.36,73.21,2.18,9.72,63,2825,122.89,20.5,0.00,0
3.495,1.56,0.00,14.50,off,off,-4.87,14.46,0.75,on,14.31,77,1.000,0.70,-1.05,0.00,1.0,2,20.00,3.62,45,46,35.48,73.21,2.18,9.78,63,2838,121.00,20.1,0.00,0
3.575,1.56,0.00,14.51,off,off,-5.13,14.47,0.75,on,14.36,77,1.000,0.70,-1.05,0.00,1.0,2,20.50,3.64,45,46,35.51,73.24,2.18,9.52,63,2841,122.19,20.5,0.00,0
3.639,1.56,0.00,14.41,off,off,-4.97,14.46,0.74,on,14.31,77,1.000,0.70,-1.05,0.00,1.0,2,20.00,3.66,45,46,35.76,73.25,2.18,9.68,63,2864,123.91,20.5,0.00,0
3.697,1.56,0.00,14.39,off,off,-4.95,14.46,0.75,on,14.36,77,1.000,0.70,-1.05,0.00,1.0,2,20.50,3.68,45,46,36.16,73.27,2.18,9.70,63,2883,122.38,20.5,0.00,0
3.755,0.78,0.00,14.36,off,off,-5.14,14.46,0.75,on,14.31,77,1.000,0.70,-1.05,0.00,1.0,2,20.00,3.71,45,46,36.39,73.31,2.18,9.51,63,2903,122.94,20.5,0.00,0
3.814,0.78,0.00,14.34,off,off,-5.14,14.46,0.75,on,14.31,77,1.000,1.05,-0.70,0.00,1.0,2,21.00,3.72,45,46,36.49,73.31,2.18,9.51,63,2912,121.14,20.5,0.00,0
3.873,0.78,0.00,14.37,off,off,-5.17,14.46,0.75,on,14.31,77,1.000,1.05,-0.70,0.00,1.0,2,20.50,3.73,45,46,36.79,73.32,2.22,9.48,63,2922,123.04,20.9,0.00,0
3.937,0.78,0.00,14.36,off,off,-4.89,14.46,0.75,on,14.31,77,1.000,1.05,-0.70,0.00,1.0,2,20.50,3.75,45,46,37.29,73.34,2.20,9.76,63,2945,122.71,21.3,0.00,0
