Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-2.34,-4.69,14.71,off,off,-11.07,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,68,70,7.26,69.03,1.22,3.58,83,1791,0.00,7.9,0.00,0
0.003,-1.56,-4.69,14.72,off,off,-11.09,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,68,70,7.28,69.02,1.22,3.56,83,1793,0.00,7.9,0.00,0
0.007,-2.34,-4.69,14.71,off,off,-11.08,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.30,69.04,1.22,3.57,83,1795,0.00,7.9,0.00,0
0.029,-1.56,-4.69,14.69,off,off,-11.05,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.30,69.08,1.20,3.60,83,1796,0.00,7.9,0.00,0
0.083,-2.34,-4.69,14.70,off,off,-11.06,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.32,69.07,1.20,3.59,83,1797,0.00,7.9,0.00,0
0.163,-2.34,-4.69,14.67,off,off,-11.09,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.29,69.06,1.16,3.56,83,1801,0.00,7.9,0.00,0
0.251,-2.34,-4.69,14.66,off,off,-11.06,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.25,69.09,1.20,3.59,83,1802,0.00,7.9,0.00,0
0.311,-2.34,-4.69,14.66,off,off,-11.11,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.22,69.04,1.18,3.54,83,1802,0.00,7.9,0.00,0
0.365,-2.34,-4.69,14.64,off,off,-11.11,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.22,69.05,1.22,3.54,83,1804,0.00,7.9,0.00,0
0.450,-2.34,-4.69,14.62,off,off,-11.08,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.24,69.09,1.20,3.57,83,1804,0.00,7.9,0.00,0
0.508,-2.34,-4.69,14.61,off,off,-11.11,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.22,69.04,1.22,3.54,83,1803,0.00,7.9,0.00,0
0.563,-2.34,-4.69,14.59,off,off,-11.11,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.20,69.05,1.22,3.54,83,1802,0.00,7.9,0.00,0
0.658,-2.34,-4.69,14.60,off,off,-11.10,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.23,69.06,1.20,3.55,83,1802,0.00,7.9,0.00,0
0.714,-2.34,-4.69,14.61,off,off,-11.10,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.24,69.04,1.22,3.55,83,1800,0.00,7.9,0.00,0
0.807,-2.34,-4.69,14.65,off,off,-11.09,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.28,69.06,1.22,3.56,83,1802,0.00,7.9,0.00,0
0.862,-2.34,-4.69,14.65,off,off,-11.10,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.27,69.02,1.24,3.55,83,1796,0.00,7.9,0.00,0
0.929,-2.34,-4.69,14.66,off,off,-11.05,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.32,69.08,1.24,3.60,83,1796,0.00,7.9,0.00,0
0.984,-2.34,-4.69,14.68,off,off,-11.05,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,66,70,7.35,69.09,1.24,3.60,83,1797,0.00,7.9,0.00,0
1.052,-2.34,-4.69,14.67,off,off,-11.07,14.66,0.25,on,14.82,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.38,69.07,1.20,3.58,83,1799,0.00,7.9,0.00,0
1.118,-2.34,-4.69,14.65,off,off,-11.03,14.66,0.25,on,14.82,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.40,69.07,1.24,3.61,83,1799,0.00,7.9,0.00,0
1.174,-2.34,-4.69,14.67,off,off,-11.04,14.66,0.25,on,14.82,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.41,69.11,1.18,3.61,83,1800,0.00,7.9,0.00,0
1.262,-2.34,-4.69,14.65,off,off,-11.07,14.65,0.25,on,14.82,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.40,69.09,1.18,3.58,83,1802,0.00,7.9,0.00,0
1.327,-2.34,-4.69,14.63,off,off,-11.03,14.65,0.25,on,14.82,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.38,69.08,1.24,3.62,83,1801,0.00,7.9,0.00,0
1.383,-2.34,-4.69,14.65,off,off,-11.03,14.66,0.25,on,14.82,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.37,69.09,1.22,3.62,83,1798,0.00,7.9,0.00,0
1.465,-2.34,-4.69,14.60,off,off,-11.07,14.66,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.36,69.07,1.18,3.58,83,1800,0.00,7.9,0.00,0
1.530,-2.34,-4.69,14.58,off,off,-11.03,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,68,70,7.36,69.13,1.20,3.62,83,1802,0.00,7.9,0.00,0
1.588,-2.34,-4.69,14.58,off,off,-11.03,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.36,69.13,1.24,3.62,83,1803,0.00,7.9,0.00,0
1.642,-2.34,-4.69,14.54,off,off,-11.02,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.36,69.14,1.18,3.63,83,1804,0.00,7.9,0.00,0
1.730,-2.34,-4.69,14.56,off,off,-11.03,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,68,70,7.39,69.15,1.24,3.61,83,1808,0.00,7.9,0.00,0
1.784,-2.34,-4.69,14.58,off,off,-11.06,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,66,70,7.41,69.15,1.24,3.59,83,1809,0.00,7.9,0.00,0
1.854,-2.34,-4.69,14.60,off,off,-11.06,14.65,0.23,on,14.82,99,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,68,70,7.42,69.15,1.22,3.59,83,1814,0.00,7.9,0.00,0
1.930,-2.34,-4.69,14.61,off,off,-11.03,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,68,70,7.42,69.15,1.22,3.62,83,1814,0.00,7.9,0.00,0
2.000,-2.34,-4.69,14.62,off,off,-11.10,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,68,70,7.44,69.13,1.24,3.55,83,1818,0.00,7.9,0.00,0
2.064,-2.34,-4.69,14.62,off,off,-11.05,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.00,0.78,68,70,7.44,69.17,1.22,3.60,83,1820,0.00,7.9,0.00,0
2.148,-2.34,-4.69,14.61,off,off,-11.09,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,21.00,0.78,68,70,7.43,69.15,1.22,3.56,83,1820,0.00,7.9,0.00,0
2.202,-2.34,-4.69,14.62,off,off,-11.07,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,20.50,0.78,68,70,7.44,69.18,1.22,3.58,84,1821,0.00,7.9,0.00,0
2.291,-2.34,-4.69,14.63,off,off,-11.10,14.65,0.23,on,14.93,99,1.000,0.00,0.00,0.00,1.0,0,20.50,0.78,68,70,7.45,69.17,1.22,3.55,84,1825,0.00,7.9,0.00,0
