Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: Stage1+BigSF 91 v350 HWG.ptm - Realtime: Stage1+BigSF 91 v350 HWG.ptm]
0.000,0.00,-4.69,22.20,off,off,-11.88,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,0.00,0.70,88,126,3.67,66.81,0.96,2.77,177,1627,3.16,4.7,0.00,0
0.004,0.00,-4.69,22.20,off,off,-11.96,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,1.50,0.69,88,126,3.62,66.67,0.94,2.69,177,1611,3.16,4.7,0.00,0
0.012,0.00,-4.69,22.20,off,off,-11.95,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,4.50,0.68,88,126,3.56,66.50,0.92,2.70,177,1592,3.16,4.7,0.00,0
0.015,0.00,-4.69,22.20,off,off,-12.04,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.67,88,126,3.55,66.26,0.90,2.61,177,1566,15.16,5.5,0.00,0
0.028,0.00,-4.69,22.20,off,off,-11.92,14.23,0.14,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,9.50,0.67,88,126,3.74,66.22,1.04,2.73,177,1563,15.46,5.5,0.00,0
0.082,0.00,-4.69,22.20,off,off,-11.85,14.23,0.14,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,10.00,0.67,88,126,3.88,66.22,1.04,2.80,177,1563,16.31,5.5,0.00,0
0.189,0.00,-4.69,22.20,off,off,-11.79,14.23,0.16,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,11.50,0.66,88,126,4.05,66.13,1.04,2.86,177,1553,19.74,5.9,0.00,0
0.225,0.00,-4.69,22.20,off,off,-11.71,14.23,0.16,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,13.00,0.66,88,126,4.23,66.07,1.04,2.94,177,1538,23.30,6.3,0.00,0
0.296,0.00,-4.69,22.20,off,off,-11.56,14.23,0.17,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,14.50,0.65,88,126,4.48,66.20,1.12,3.09,177,1526,28.61,6.7,0.00,0
0.364,0.00,-4.69,22.20,off,off,-11.38,14.23,0.18,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,15.50,0.97,88,126,4.82,66.57,1.16,3.27,177,1515,29.85,7.1,0.00,0
0.469,0.00,-4.69,22.20,off,off,-11.15,14.23,0.19,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,17.00,0.97,88,126,5.20,66.95,1.16,3.50,177,1512,30.27,7.1,0.00,0
0.494,0.00,-4.69,22.20,off,off,-11.00,14.23,0.21,off,13.54,180,1.000,0.00,0.00,0.00,1.0,1,18.50,0.97,88,126,5.49,67.48,1.14,3.64,177,1523,30.26,7.1,0.00,0
0.567,0.00,-4.69,22.20,off,off,-10.92,14.23,0.22,off,13.39,180,1.000,0.00,0.00,0.00,1.0,1,19.50,0.98,88,126,5.79,67.81,1.14,3.73,177,1537,31.48,7.1,0.00,0
0.631,0.00,-4.69,22.20,off,off,-10.83,14.23,0.22,off,13.39,180,1.000,0.00,0.00,0.00,1.0,1,9.00,0.98,88,126,5.96,68.01,1.14,3.82,177,1538,31.08,7.1,0.00,0
0.699,0.00,-4.69,22.20,off,off,-10.77,14.23,0.23,off,13.30,180,1.000,0.00,0.00,0.00,1.0,1,9.00,1.31,88,126,6.09,68.16,1.16,3.88,177,1540,31.08,7.1,0.00,0
0.755,0.00,-4.69,22.20,off,off,-10.75,14.23,0.23,off,13.30,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.32,88,126,6.23,68.28,1.14,3.90,177,1546,31.08,7.1,0.00,0
0.833,0.00,-4.69,22.20,off,off,-10.72,14.23,0.23,off,13.30,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.32,88,126,6.26,68.23,1.16,3.93,177,1539,30.65,7.1,0.00,0
0.882,0.00,-4.69,22.20,off,off,-10.64,14.23,0.25,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.31,88,126,6.24,68.19,1.14,4.01,177,1520,30.68,7.1,0.00,0
0.963,0.00,-4.69,21.56,off,off,-10.60,14.23,0.25,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.28,88,126,6.20,68.10,1.16,4.05,177,1498,31.11,7.1,0.00,0
1.016,0.00,-4.69,20.60,off,off,-10.56,14.23,0.25,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.28,88,126,6.31,68.30,1.14,4.09,177,1509,31.49,7.1,0.00,0
1.081,0.00,-4.69,19.53,off,off,-10.54,14.23,0.25,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.30,88,126,6.46,68.61,1.12,4.11,177,1533,31.88,7.5,0.00,0
1.139,0.00,-4.69,18.32,off,off,-10.51,14.23,0.25,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.32,88,126,6.57,68.90,1.16,4.14,177,1554,31.46,7.5,0.00,0
1.199,0.00,-4.69,17.37,off,off,-10.51,14.23,0.25,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.33,88,126,6.64,69.02,1.16,4.14,177,1565,30.23,7.5,0.00,0
1.253,0.00,-4.69,17.11,off,off,-10.56,14.23,0.25,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.33,86,126,6.54,68.89,1.16,4.09,177,1561,22.08,6.7,0.00,0
1.313,0.00,-4.69,16.68,off,off,-10.68,14.23,0.23,off,13.16,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.32,88,126,6.18,68.52,1.08,3.97,177,1544,19.62,5.9,0.00,0
1.383,0.00,-4.69,16.21,off,off,-10.77,14.23,0.22,off,13.39,180,1.000,0.00,0.00,0.00,1.0,1,19.50,1.30,88,126,5.80,68.03,1.00,3.88,177,1527,19.10,5.9,0.00,0
1.457,0.00,-4.69,16.10,off,off,-10.91,14.23,0.21,off,13.39,180,1.000,0.00,0.00,0.00,1.0,1,18.00,0.98,88,126,5.56,67.81,1.02,3.74,177,1535,18.58,5.9,0.00,0
1.520,0.00,-4.69,15.89,off,off,-11.00,14.23,0.21,off,13.54,180,1.000,0.00,0.00,0.00,1.0,1,17.50,0.99,88,126,5.42,67.73,1.04,3.64,177,1548,18.12,5.9,0.00,0
1.578,0.00,-4.69,15.83,off,off,-11.14,14.23,0.19,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,15.50,1.00,86,126,5.30,67.56,1.02,3.51,177,1560,17.68,5.9,0.00,0
1.636,0.00,-4.69,15.59,off,off,-11.26,14.23,0.19,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,14.50,1.00,88,126,5.10,67.33,0.98,3.39,177,1564,0.00,4.3,0.00,0
1.694,0.00,-4.69,15.29,off,off,-11.43,14.23,0.17,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,13.00,1.00,88,126,4.65,66.93,0.86,3.22,177,1564,0.00,4.3,0.00,0
1.763,0.00,-4.69,15.16,off,off,-11.70,14.23,0.16,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,11.50,0.99,88,126,4.25,66.16,0.92,2.95,177,1544,0.00,4.3,0.00,0
1.826,0.00,-4.69,15.03,off,off,-11.84,14.23,0.16,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,11.00,0.66,88,126,4.00,65.92,0.90,2.81,177,1531,0.00,4.3,0.00,0
1.884,0.00,-4.69,14.96,off,off,-11.93,14.23,0.14,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,8.50,0.64,88,126,3.76,65.66,0.90,2.72,177,1503,0.00,4.7,0.00,0
1.954,0.00,-4.69,14.88,off,off,-11.98,14.23,0.14,off,13.59,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.63,86,126,3.55,65.30,0.94,2.67,177,1464,0.00,4.7,0.00,0
2.027,1.56,-4.69,14.88,off,off,-11.95,14.23,0.14,on,14.87,180,1.000,0.00,0.00,0.00,1.0,1,7.00,0.61,88,126,3.37,64.86,0.90,2.69,177,1417,0.00,4.7,0.00,0
2.100,1.56,-4.69,14.79,off,off,-11.93,14.23,0.13,on,14.87,180,1.000,0.00,0.00,0.00,1.0,1,6.50,0.59,86,126,3.26,64.48,0.92,2.72,177,1377,0.00,4.7,0.00,0
2.144,1.56,-4.69,14.69,off,off,-11.84,14.23,0.14,on,14.82,180,1.000,0.00,0.00,0.00,1.0,1,6.50,0.57,86,126,3.13,63.90,0.88,2.81,177,1314,0.00,4.7,0.00,0
2.204,1.56,-4.69,14.65,off,off,-11.73,14.23,0.14,on,14.82,180,1.000,0.00,0.00,0.00,1.0,1,7.50,0.54,86,126,3.05,63.42,0.94,2.92,177,1260,0.00,5.1,0.00,0
2.273,1.56,-4.69,14.64,off,off,-11.65,14.23,0.14,on,14.76,180,1.000,0.00,0.00,0.00,1.0,1,6.00,0.53,86,126,3.02,63.03,0.96,2.99,177,1212,0.00,5.1,0.00,0
2.337,1.56,-4.69,14.69,off,off,-11.62,14.30,0.16,on,14.64,180,1.000,0.00,0.00,0.00,1.0,1,10.00,0.50,86,126,3.04,63.27,0.98,3.03,177,1174,0.00,5.1,0.00,0
2.400,1.56,-4.69,14.69,off,off,-11.56,14.30,0.16,on,14.64,180,1.000,0.00,0.00,0.00,1.0,2,10.50,0.49,86,126,3.06,63.61,0.96,3.09,177,1141,0.00,5.1,0.00,0
2.466,2.34,-4.69,14.73,off,off,-11.46,14.30,0.16,on,14.47,180,1.000,0.00,0.00,0.00,1.0,2,10.50,0.48,86,126,3.08,63.98,0.94,3.19,177,1106,0.00,5.1,0.00,0
2.523,2.34,-4.69,14.91,off,off,-11.40,14.30,0.17,on,14.31,180,1.000,0.00,0.00,0.00,1.0,2,10.00,0.45,88,126,3.07,64.30,0.92,3.25,177,1066,0.00,5.1,0.00,0
2.583,3.12,-4.69,15.00,off,off,-11.30,14.30,0.17,on,14.09,180,1.000,0.00,0.00,0.00,1.0,2,10.50,0.67,86,126,3.04,64.62,0.92,3.35,177,1028,0.00,4.7,0.00,0
2.647,3.91,-4.69,15.05,off,off,-11.21,14.30,0.18,on,14.09,180,1.000,0.00,0.00,0.00,1.0,2,9.00,0.65,86,126,3.06,64.78,0.96,3.44,177,1010,0.00,4.7,0.00,0
2.704,3.91,-4.69,15.12,off,off,-11.14,14.30,0.18,on,14.09,180,1.000,0.00,0.00,0.00,1.0,2,9.00,0.64,86,126,3.09,64.87,0.94,3.51,177,1000,0.00,4.7,0.00,0
2.762,4.69,-4.69,15.20,off,off,-11.09,14.30,0.18,on,14.15,180,1.000,0.00,0.00,0.00,1.0,2,9.00,0.63,86,126,3.10,64.94,0.92,3.56,177,989,0.00,4.7,0.00,0
2.822,4.69,-4.69,15.30,off,off,-11.03,14.30,0.18,on,14.15,180,1.000,0.00,0.00,0.00,1.0,2,9.00,0.63,86,126,3.12,64.99,0.92,3.62,177,982,0.00,4.7,0.00,0
2.883,5.47,-4.69,15.36,off,off,-11.00,14.30,0.18,on,14.15,180,1.000,0.00,0.00,0.00,1.0,2,9.00,0.62,86,126,3.11,65.04,0.92,3.64,177,973,0.00,4.7,0.00,0
2.947,5.47,-4.69,15.47,off,off,-10.97,14.30,0.18,on,14.15,180,1.000,0.00,0.00,0.00,1.0,2,8.50,0.62,86,126,3.11,65.07,0.92,3.68,177,967,0.00,4.7,0.00,0
3.004,6.25,-4.69,15.57,off,off,-10.97,14.30,0.19,on,14.15,180,1.000,0.00,0.00,0.00,1.0,2,8.50,0.62,86,126,3.11,65.08,0.90,3.68,177,964,0.00,4.7,0.00,0
3.070,7.03,-4.69,15.62,off,off,-10.95,14.30,0.19,on,14.15,180,1.000,0.00,0.00,0.00,1.0,2,8.50,0.62,86,126,3.12,65.10,0.88,3.69,177,960,0.00,4.7,0.00,0
3.128,7.03,-4.69,15.74,off,off,-10.93,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,2,9.00,0.61,86,126,3.10,65.14,0.88,3.72,177,950,0.00,4.3,0.00,0
3.186,7.81,-4.69,15.75,off,off,-10.91,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,2,8.50,0.60,86,126,3.09,65.16,0.86,3.73,177,943,0.00,4.3,0.00,0
3.245,7.81,-4.69,15.81,off,off,-10.93,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,0,9.00,0.60,86,126,3.06,65.18,0.82,3.72,177,936,0.00,4.3,0.00,0
3.302,7.81,-4.69,15.85,off,off,-10.90,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.60,86,126,3.05,65.19,0.82,3.74,177,934,0.00,4.3,0.00,0
3.362,8.59,-4.69,15.87,off,off,-10.90,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.60,86,126,3.04,65.20,0.84,3.75,177,930,0.00,4.3,0.00,0
3.438,8.59,-4.69,15.93,off,off,-10.89,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.59,86,126,3.04,65.21,0.86,3.76,177,929,0.00,4.3,0.00,0
3.484,8.59,-4.69,15.90,off,off,-10.88,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.59,86,126,3.02,65.22,0.82,3.76,177,924,0.00,4.3,0.00,0
3.560,9.38,-4.69,15.89,off,off,-10.89,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.59,86,126,3.02,65.22,0.82,3.76,177,925,0.00,4.3,0.00,0
3.614,9.38,-4.69,15.93,off,off,-10.87,14.30,0.19,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.59,86,126,3.01,65.21,0.82,3.78,177,928,0.00,4.3,0.00,0
3.684,9.38,-4.69,15.88,off,off,-10.90,14.30,0.18,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.59,86,126,2.98,65.22,0.84,3.75,177,926,0.00,4.3,0.00,0
3.753,10.16,-4.69,15.83,off,off,-10.89,14.30,0.18,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.59,86,126,2.96,65.23,0.84,3.76,177,923,0.00,4.3,0.00,0
3.817,10.16,-4.69,15.87,off,off,-10.91,14.30,0.18,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,0.50,0.58,86,126,2.89,65.29,0.82,3.74,177,903,0.00,4.3,0.00,0
3.874,10.16,-4.69,15.82,off,off,-10.92,14.30,0.18,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,1.00,0.57,86,126,2.79,65.40,0.82,3.73,177,867,0.00,4.3,0.00,0
3.943,10.16,-4.69,15.82,off,off,-10.89,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,1.50,0.55,86,126,2.73,65.45,0.82,3.76,177,847,0.00,4.3,0.00,0
4.010,10.16,-4.69,15.80,off,off,-10.87,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,3.50,0.54,86,126,2.72,65.47,0.84,3.78,177,836,0.00,4.3,0.00,0
4.070,10.94,-4.69,15.76,off,off,-10.81,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,4.00,0.53,86,126,2.71,65.47,0.84,3.84,177,823,0.00,4.3,0.00,0
4.127,10.94,-4.69,15.76,off,off,-10.73,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,5.50,0.52,86,126,2.72,65.43,0.86,3.91,177,820,0.00,4.3,0.00,0
4.183,10.94,-4.69,15.68,off,off,-10.69,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,6.00,0.52,86,126,2.76,65.41,0.86,3.95,177,820,0.00,4.3,0.00,0
4.242,10.94,-4.69,15.69,off,off,-10.64,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,6.00,0.53,86,126,2.78,65.37,0.82,4.01,177,821,0.00,4.3,0.00,0
4.303,10.94,-4.69,15.64,off,off,-10.58,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,6.00,0.53,86,126,2.79,65.35,0.80,4.07,177,821,0.00,4.3,0.00,0
4.366,10.94,-4.69,15.57,off,off,-10.58,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,5.50,0.53,86,126,2.81,65.33,0.82,4.07,177,822,0.00,4.3,0.00,0
4.438,10.94,-4.69,15.62,off,off,-10.55,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,6.00,0.70,86,126,2.83,65.31,0.82,4.10,177,825,0.00,4.3,0.00,0
4.483,11.72,-4.69,15.56,off,off,-10.56,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,5.50,0.71,86,126,2.83,65.31,0.84,4.09,177,827,0.00,4.3,0.00,0
4.549,11.72,-4.69,15.56,off,off,-10.54,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,5.00,0.53,86,127,2.83,65.30,0.82,4.11,177,831,0.00,4.3,0.00,0
4.605,11.72,-4.69,15.58,off,off,-10.54,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,5.00,0.53,86,127,2.83,65.30,0.84,4.11,177,833,0.00,4.3,0.00,0
4.663,11.72,-4.69,15.52,off,off,-10.57,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,5.00,0.53,86,127,2.83,65.31,0.84,4.08,177,835,0.00,4.3,0.00,0
4.723,12.50,-4.69,15.51,off,off,-10.56,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,4.50,0.53,86,127,2.81,65.31,0.86,4.09,177,831,0.00,4.3,0.00,0
4.783,12.50,-4.69,15.52,off,off,-10.59,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,5.00,0.53,86,127,2.81,65.32,0.86,4.06,177,834,0.00,4.3,0.00,0
4.843,12.50,-4.69,15.52,off,off,-10.60,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,5.00,0.53,86,127,2.80,65.33,0.82,4.05,177,833,0.00,4.3,0.00,0
4.910,12.50,-4.69,15.50,off,off,-10.60,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,5.00,0.53,86,127,2.79,65.33,0.82,4.05,177,832,0.00,4.3,0.00,0
4.966,13.28,-4.69,15.51,off,off,-10.61,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,5.00,0.53,86,127,2.76,65.35,0.82,4.03,177,824,0.00,4.3,0.00,0
5.024,12.50,-4.69,15.49,off,off,-10.61,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,5.50,0.53,86,127,2.74,65.35,0.82,4.04,177,819,0.00,4.3,0.00,0
5.084,13.28,-4.69,15.48,off,off,-10.61,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,6.00,0.52,86,127,2.71,65.36,0.84,4.04,177,811,0.00,4.3,0.00,0
5.150,13.28,-4.69,15.53,off,off,-10.60,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,6.00,0.69,86,127,2.71,65.36,0.86,4.05,177,807,0.00,4.3,0.00,0
5.207,13.28,-4.69,15.51,off,off,-10.58,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,6.50,0.68,86,127,2.70,65.35,0.86,4.07,177,802,0.00,4.3,0.00,0
5.266,14.06,-4.69,15.53,off,off,-10.56,14.30,0.19,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,6.50,0.51,86,127,2.69,65.64,0.84,4.09,177,789,3.80,4.3,0.00,0
5.323,14.06,-4.69,15.53,off,off,-10.50,14.30,0.21,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,7.00,0.49,86,127,2.69,66.12,0.86,4.15,177,772,3.80,4.7,0.00,0
5.403,14.06,-4.69,15.50,off,off,-10.46,14.30,0.21,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.49,86,127,2.73,66.39,0.86,4.19,177,756,3.80,4.7,0.00,0
5.457,14.84,-4.69,15.53,off,off,-10.26,14.30,0.22,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,9.00,0.64,86,127,2.89,66.22,1.00,4.39,177,748,18.04,5.9,0.00,0
5.513,14.84,-4.69,15.53,off,off,-10.06,14.30,0.25,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,10.00,0.64,86,127,3.06,66.32,1.08,4.59,177,746,18.76,5.5,0.00,0
5.582,14.84,-4.69,15.53,off,off,-9.75,14.30,0.25,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,7.50,0.64,86,127,3.15,66.16,1.02,4.90,177,755,21.06,5.5,0.00,0
5.636,14.84,-4.69,15.53,off,off,-9.70,14.30,0.25,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,8.50,0.65,86,127,3.27,65.84,1.02,4.95,177,766,25.02,5.5,0.00,0
5.701,15.62,-4.69,15.56,off,off,-9.60,14.30,0.26,on,14.20,180,1.000,0.00,0.00,0.00,1.0,0,10.00,0.66,86,127,3.37,65.52,0.98,5.05,177,777,26.23,5.5,0.00,0
5.755,15.62,-4.69,15.53,off,off,-9.48,14.30,0.26,on,14.20,180,1.000,0.00,0.00,0.00,1.0,0,11.50,0.83,86,127,3.46,65.40,1.00,5.17,177,781,27.43,5.5,0.00,0
5.823,15.62,-4.69,15.55,off,off,-9.44,14.30,0.26,on,14.20,180,1.000,0.00,0.00,0.00,1.0,0,13.00,0.85,86,127,3.57,64.78,1.00,5.21,177,801,28.19,5.1,0.00,0
5.887,15.62,-4.69,15.53,off,off,-9.40,14.30,0.26,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,15.00,0.70,86,127,3.67,64.84,0.96,5.25,177,820,28.44,5.5,0.00,0
5.946,16.41,-4.69,15.52,off,off,-9.37,14.30,0.26,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,15.50,0.70,86,127,3.74,64.87,0.90,5.28,177,829,27.98,5.5,0.00,0
6.003,16.41,-4.69,15.52,off,off,-9.36,14.30,0.27,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,17.00,0.72,86,127,3.81,64.91,0.90,5.29,177,838,27.11,5.5,0.00,0
6.063,16.41,-4.69,15.51,off,off,-9.32,14.30,0.27,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,18.00,0.90,86,127,3.87,64.95,0.94,5.33,177,850,27.41,5.5,0.00,0
6.123,16.41,-4.69,15.52,off,off,-9.31,14.30,0.27,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,20.00,0.91,86,127,3.92,65.00,0.96,5.34,177,862,27.73,5.5,0.00,0
6.187,17.19,-4.69,15.46,off,off,-9.30,14.30,0.27,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,20.00,0.93,86,127,4.00,65.03,0.98,5.35,177,870,36.80,5.9,0.00,0
6.246,17.19,-4.69,15.49,off,off,-9.24,14.30,0.27,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,20.00,0.94,86,127,4.12,65.06,0.98,5.40,177,879,47.14,6.7,0.00,0
6.303,17.19,-4.69,15.50,off,off,-9.07,14.30,0.28,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,20.00,0.94,86,127,4.31,65.11,1.08,5.58,177,891,47.49,6.7,0.00,0
6.363,17.19,-4.69,15.50,off,off,-8.88,14.30,0.28,on,14.20,180,1.000,0.00,0.00,0.00,1.0,1,20.00,0.95,86,127,4.45,65.15,1.08,5.77,177,900,46.89,6.7,0.00,0
6.431,17.97,-4.69,15.53,off,off,-8.73,14.30,0.30,on,14.15,180,1.000,0.00,0.00,0.00,1.0,1,20.00,0.97,86,127,4.64,65.26,1.10,5.91,177,922,47.67,6.7,0.00,0
6.485,17.97,-4.69,15.53,off,off,-8.60,14.30,0.31,on,14.15,180,1.000,0.00,0.00,0.00,1.0,1,20.00,0.99,86,127,4.81,65.32,1.14,6.05,177,930,50.24,7.1,0.00,0
6.571,17.97,-4.69,15.56,off,off,-8.48,14.30,0.31,on,14.15,180,1.000,0.00,0.00,0.00,1.0,1,20.00,1.01,86,127,5.08,65.52,1.16,6.17,177,961,53.61,7.5,0.00,0
6.624,18.75,-4.69,15.58,off,off,-8.36,14.30,0.32,on,14.15,180,1.000,0.00,0.00,0.00,1.0,1,20.50,1.04,86,127,5.46,65.73,1.14,6.29,177,991,53.62,7.5,0.00,0
6.714,18.75,-4.69,15.53,off,off,-8.18,14.30,0.34,on,14.09,180,1.000,0.00,0.00,0.00,1.0,1,20.50,1.08,86,127,5.74,65.94,1.16,6.46,177,1021,52.98,7.5,0.00,0
6.769,18.75,-4.69,15.49,off,off,-8.11,14.30,0.34,on,14.09,180,1.000,0.00,0.00,0.00,1.0,0,20.50,1.12,86,127,6.07,66.25,1.18,6.54,177,1062,62.29,8.7,0.00,0
6.826,18.75,-4.69,15.47,off,off,-8.04,14.30,0.34,on,14.15,180,1.000,0.00,0.00,0.00,1.0,0,20.50,1.38,86,127,6.37,66.47,1.18,6.61,177,1089,71.93,9.1,0.00,0
6.884,18.75,-4.69,15.41,off,off,-7.87,14.30,0.36,on,14.20,180,1.000,0.00,0.00,0.00,1.0,0,20.00,1.43,86,127,6.85,66.74,1.34,6.78,177,1118,79.12,10.2,0.00,0
6.954,19.53,-4.69,15.38,off,off,-7.40,14.30,0.39,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,19.50,1.45,86,127,7.66,67.33,1.38,7.25,177,1166,82.53,10.6,0.00,0
7.034,18.75,-4.69,15.35,off,off,-6.94,14.30,0.40,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,19.00,1.53,86,127,8.37,67.29,1.42,7.71,177,1210,85.55,11.0,0.00,0
7.088,19.53,-4.69,15.32,off,off,-6.63,14.30,0.43,on,14.25,180,1.000,0.00,0.00,0.00,1.0,1,17.50,1.59,86,127,9.08,67.56,1.44,8.01,177,1249,92.36,11.8,0.00,0
7.145,19.53,-4.69,15.25,off,off,-6.17,14.30,0.45,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,16.50,1.63,86,127,9.90,67.79,1.50,8.48,177,1289,96.46,12.6,0.00,0
7.204,19.53,-4.69,15.18,off,off,-5.49,14.30,0.50,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,19.50,1.70,86,127,11.28,68.52,1.64,9.16,177,1325,98.58,14.2,0.00,0
7.273,19.53,-4.69,14.94,off,off,-4.79,14.27,0.54,on,14.25,180,1.000,0.00,0.00,0.00,1.0,0,18.00,1.73,86,127,13.13,70.76,1.64,9.85,177,1392,101.75,15.0,0.00,0
7.343,19.53,-4.69,14.78,off,off,-4.29,14.27,0.58,on,14.25,180,1.000,0.70,0.00,0.00,1.0,0,17.00,2.14,86,127,14.54,71.98,1.68,10.36,177,1453,102.18,15.7,0.00,0
