Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,1.56,-5.47,14.62,off,off,-8.57,14.54,0.43,on,14.53,81,1.000,0.00,0.00,0.00,1.0,1,26.00,2.36,61,64,19.21,72.90,1.44,6.08,69,2748,19.88,9.8,0.00,0
0.024,2.34,-5.47,14.64,off,off,-9.88,14.55,0.30,on,14.53,81,1.000,0.00,0.00,0.00,1.0,1,32.50,1.75,61,64,13.11,72.46,1.18,4.77,69,2717,18.88,9.1,0.00,0
0.061,2.34,-5.47,14.63,off,off,-10.42,14.62,0.25,on,14.42,81,1.000,0.00,0.00,0.00,1.0,1,23.50,1.73,61,64,11.31,72.02,1.24,4.23,70,2707,18.12,8.7,0.00,0
0.148,1.56,-5.47,14.64,off,off,-11.10,14.62,0.21,on,14.82,81,1.000,0.00,0.00,0.00,1.0,1,23.50,1.72,61,63,9.41,71.39,1.16,3.55,70,2681,0.00,7.5,0.00,0
0.193,1.56,-5.47,14.63,off,off,-11.41,14.62,0.18,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,1.14,61,63,8.11,71.06,1.22,3.24,70,2679,0.00,6.7,0.00,0
0.285,1.56,-5.47,14.53,off,off,-11.75,14.62,0.16,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,1.15,61,63,6.93,70.48,1.06,2.90,70,2692,0.00,6.7,0.00,0
0.341,1.56,-5.47,14.46,off,off,-12.01,14.62,0.14,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.57,61,63,6.35,71.50,1.14,2.64,70,2623,0.00,6.7,0.00,0
0.436,0.78,-5.47,14.46,off,off,-12.10,14.62,0.14,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.55,61,63,6.03,72.85,1.14,2.55,70,2533,0.00,6.7,0.00,0
0.508,0.78,-5.47,14.48,off,off,-12.10,14.62,0.14,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.53,61,63,5.85,73.80,1.06,2.55,70,2470,0.00,6.7,0.00,0
0.595,0.78,-5.47,14.50,off,off,-12.14,14.62,0.14,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.51,61,63,5.69,74.48,1.04,2.51,70,2367,0.00,6.7,0.00,0
0.651,0.78,-5.47,14.52,off,off,-12.10,14.61,0.14,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.49,61,63,5.46,73.59,1.00,2.55,70,2293,0.00,6.7,0.00,0
0.742,-0.78,-5.47,14.53,off,off,-12.00,14.61,0.14,on,14.87,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.48,61,63,5.32,72.75,1.00,2.65,70,2221,0.00,6.7,0.00,0
0.806,0.00,-5.47,14.51,off,off,-11.97,14.61,0.14,off,14.99,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.46,61,63,5.16,71.99,1.08,2.68,70,2158,0.00,6.7,0.00,0
0.876,0.00,-5.47,14.42,off,off,-11.91,14.60,0.14,off,14.99,81,1.000,0.00,0.00,0.00,1.0,1,23.50,0.45,61,63,5.04,71.01,1.12,2.74,70,2074,0.00,6.7,0.00,0
