Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,5.47,-4.69,15.34,off,off,-10.52,14.72,0.23,on,14.53,86,1.000,0.00,0.00,0.00,1.0,0,15.00,0.47,73,75,4.35,65.13,0.98,4.13,77,1112,0.00,5.9,0.00,0
0.023,5.47,-4.69,15.30,off,off,-10.49,14.72,0.23,on,14.53,86,1.000,0.00,0.00,0.00,1.0,0,15.50,0.71,73,75,4.37,65.17,1.00,4.16,77,1112,0.00,5.9,0.00,0
0.027,5.47,-4.69,15.29,off,off,-10.46,14.72,0.23,on,14.53,86,1.000,0.00,0.00,0.00,1.0,0,15.00,0.71,73,75,4.37,65.20,0.98,4.19,77,1114,0.00,5.9,0.00,0
0.054,5.47,-4.69,15.29,off,off,-10.47,14.72,0.23,on,14.53,86,1.000,0.00,0.00,0.00,1.0,0,15.00,0.72,73,75,4.35,65.21,0.96,4.18,77,1117,0.00,5.9,0.00,0
0.098,6.25,-4.69,15.28,off,off,-10.46,14.72,0.22,on,14.53,86,1.000,0.00,0.00,0.00,1.0,0,14.50,0.47,73,75,4.31,65.21,0.96,4.19,77,1114,17.35,5.9,0.00,0
0.156,6.25,-4.69,15.29,off,off,-10.47,14.72,0.23,on,14.59,86,1.000,0.00,0.00,0.00,1.0,0,15.50,0.48,73,75,4.43,65.19,0.96,4.18,77,1119,37.44,7.5,0.00,0
0.212,6.25,-4.69,15.29,off,off,-10.25,14.72,0.25,on,14.47,86,1.000,0.00,0.00,0.00,1.0,0,18.00,0.72,73,75,4.75,65.46,1.18,4.40,77,1123,48.69,8.7,0.00,0
0.297,6.25,-4.69,15.29,off,off,-9.89,14.72,0.27,on,14.42,86,1.000,0.00,0.00,0.00,1.0,0,19.50,0.73,73,75,5.33,65.77,1.28,4.76,77,1140,56.70,9.4,0.00,0
0.351,6.25,-4.69,15.29,off,off,-9.41,14.72,0.30,on,14.42,86,1.000,0.00,0.00,0.00,1.0,0,20.50,0.73,73,75,5.90,66.08,1.32,5.24,77,1152,80.91,9.8,0.00,0
0.438,7.03,-4.69,15.35,off,off,-8.05,14.72,0.39,on,14.47,86,1.000,0.00,0.00,0.00,1.0,0,21.00,1.00,73,77,7.88,67.19,1.54,6.60,77,1190,107.64,13.0,0.00,0
0.491,7.03,-4.69,15.37,off,off,-7.06,14.71,0.47,on,14.47,86,1.000,0.00,0.00,0.00,1.0,0,18.50,1.57,73,77,9.96,67.71,1.68,7.59,77,1233,118.72,15.4,0.00,0
0.582,8.59,-4.69,15.54,off,off,-5.18,14.70,0.58,on,14.47,86,1.000,0.35,0.00,0.00,1.0,0,16.50,1.69,73,77,13.19,69.31,1.82,9.47,77,1319,129.29,17.3,0.00,0
0.641,10.16,-4.69,15.97,off,off,-3.88,14.68,0.67,on,14.42,86,1.000,1.76,0.00,0.00,1.0,0,15.00,2.19,73,77,17.22,72.49,1.98,10.77,77,1465,141.38,20.9,0.00,0
0.734,10.94,-4.69,16.13,off,off,-2.52,14.60,0.79,on,14.36,86,1.000,2.46,0.00,0.00,1.0,0,15.50,2.88,73,77,23.77,75.55,2.04,12.13,77,1724,141.29,21.3,0.00,0
0.812,11.72,-4.69,16.00,off,off,-2.92,14.60,0.78,on,14.36,86,1.000,2.46,0.00,0.00,1.0,0,15.00,3.34,73,77,25.64,74.93,1.84,11.73,77,1955,127.21,18.5,0.00,0
0.904,10.16,-4.69,15.06,off,off,-4.10,14.56,0.74,on,14.36,86,1.000,2.46,0.00,0.00,1.0,0,17.50,3.25,73,77,27.24,75.31,1.86,10.55,77,2190,118.10,17.7,0.00,0
0.967,8.59,-4.69,14.64,off,off,-4.96,14.53,0.71,on,14.36,86,1.000,2.11,0.00,0.00,1.0,0,19.50,3.49,73,77,27.92,76.21,1.86,9.69,77,2334,113.00,17.3,0.00,0
1.025,8.59,-4.69,14.61,off,off,-5.62,14.53,0.67,on,14.36,86,1.000,2.11,0.00,0.00,1.0,0,20.00,3.57,73,77,27.45,76.65,1.86,9.03,77,2409,109.38,16.9,0.00,0
1.089,8.59,-4.69,14.51,off,off,-6.02,14.54,0.65,on,14.36,86,1.000,1.41,0.00,0.00,1.0,0,20.50,3.12,73,77,26.71,76.30,1.88,8.63,77,2436,104.60,16.5,0.00,0
