Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,7.03,-8.59,13.67,off,off,-11.53,13.18,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,23.50,1.41,54,64,7.18,72.52,1.16,3.26,169,2203,20.01,7.5,0.00,0
0.004,7.03,-8.59,13.59,off,off,-11.59,13.19,0.18,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,7.08,72.47,1.18,3.20,169,2199,22.06,7.5,0.00,0
0.012,7.03,-8.59,13.56,off,off,-11.47,13.19,0.18,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,6.94,72.51,1.14,3.32,169,2202,22.89,7.5,0.00,0
0.016,7.03,-8.59,13.53,off,off,-11.51,13.19,0.18,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,6.93,72.50,1.18,3.28,170,2202,24.58,7.9,0.00,0
0.019,7.03,-8.59,13.47,off,off,-11.36,13.19,0.18,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,7.00,72.54,1.22,3.43,170,2205,24.33,7.9,0.00,0
0.063,7.03,-8.59,13.50,off,off,-11.23,13.19,0.18,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,7.06,72.58,1.22,3.56,170,2208,23.99,7.9,0.00,0
0.118,7.03,-8.59,13.52,off,off,-11.27,13.19,0.18,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.11,72.62,1.16,3.52,170,2212,24.79,7.9,0.00,0
0.209,7.81,-8.59,13.54,off,off,-11.17,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.18,72.64,1.22,3.63,170,2214,25.64,7.9,0.00,0
0.275,7.81,-8.59,13.56,off,off,-11.09,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.20,72.57,1.20,3.70,170,2208,24.84,7.9,0.00,0
0.329,7.81,-8.59,13.59,off,off,-11.11,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,7.21,72.59,1.22,3.68,170,2209,25.10,7.9,0.00,0
0.416,8.59,-8.59,13.58,off,off,-11.05,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,7.27,72.61,1.24,3.75,170,2211,25.35,7.9,0.00,0
0.474,8.59,-8.59,13.57,off,off,-11.04,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.41,54,64,7.32,72.64,1.20,3.75,170,2214,26.16,8.3,0.00,0
0.532,9.38,-8.59,13.60,off,off,-11.08,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.39,72.64,1.24,3.72,170,2214,25.90,7.9,0.00,0
0.589,9.38,-8.59,13.62,off,off,-10.95,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.46,72.60,1.22,3.85,170,2211,26.20,7.9,0.00,0
0.681,9.38,-8.59,13.65,off,off,-10.92,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.53,72.60,1.22,3.87,170,2211,26.50,8.3,0.00,0
0.745,10.16,-8.59,13.64,off,off,-11.01,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.62,72.66,1.26,3.79,170,2215,26.44,7.9,0.00,0
0.803,10.16,-8.59,13.64,off,off,-10.96,13.19,0.21,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.65,72.65,1.20,3.83,170,2215,24.75,7.9,0.00,0
0.890,10.16,-8.59,13.60,off,off,-11.00,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.89,54,64,7.53,72.71,1.20,3.80,170,2219,23.00,7.5,0.00,0
0.955,10.16,-8.59,13.60,off,off,-11.14,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.34,72.68,1.18,3.66,170,2217,23.29,7.5,0.00,0
1.011,10.94,-8.59,13.57,off,off,-11.07,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.25,72.66,1.12,3.73,170,2215,25.51,7.9,0.00,0
1.077,10.94,-8.59,13.52,off,off,-11.10,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.29,72.67,1.18,3.70,170,2216,26.70,7.9,0.00,0
1.134,10.94,-8.59,13.51,off,off,-11.03,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.36,72.69,1.22,3.76,170,2218,26.39,7.9,0.00,0
1.191,10.94,-8.59,13.43,off,off,-10.98,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.42,72.74,1.22,3.82,170,2221,26.35,7.9,0.00,0
1.247,10.94,-8.59,13.41,off,off,-11.02,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.90,54,64,7.48,72.78,1.24,3.77,170,2225,25.74,7.9,0.00,0
1.316,10.94,-8.59,13.30,off,off,-10.99,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.49,72.77,1.26,3.81,170,2225,25.48,7.9,0.00,0
1.372,10.94,-8.59,13.29,off,off,-11.00,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.47,72.70,1.24,3.79,170,2218,24.98,7.9,0.00,0
1.428,10.94,-8.59,13.28,off,off,-11.01,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.41,72.67,1.18,3.78,170,2216,25.58,7.9,0.00,0
1.487,10.94,-8.59,13.28,off,off,-11.00,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.41,72.69,1.20,3.79,170,2218,26.39,7.9,0.00,0
1.562,10.94,-8.59,13.33,off,off,-10.99,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.49,72.75,1.22,3.80,170,2223,26.60,7.9,0.00,0
1.618,11.72,-8.59,13.30,off,off,-10.95,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.56,72.81,1.24,3.85,170,2227,26.84,7.9,0.00,0
1.678,11.72,-8.59,13.32,off,off,-10.97,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.43,54,64,7.58,72.83,1.20,3.82,170,2229,27.09,8.3,0.00,0
1.746,11.72,-8.59,13.29,off,off,-10.93,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.43,54,64,7.60,72.81,1.24,3.87,170,2227,27.40,8.3,0.00,0
1.803,11.72,-8.59,13.30,off,off,-10.91,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.61,72.73,1.22,3.88,170,2221,27.48,8.3,0.00,0
1.859,11.72,-8.59,13.28,off,off,-10.90,13.19,0.19,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.64,72.73,1.18,3.89,170,2221,28.99,8.3,0.00,0
1.918,11.72,-8.59,13.28,off,off,-10.84,13.19,0.21,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.42,54,64,7.68,72.74,1.20,3.95,170,2222,30.50,8.7,0.00,0
1.986,12.50,-8.59,13.26,off,off,-10.79,13.19,0.21,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.90,54,64,7.87,72.84,1.26,4.00,170,2230,33.12,8.7,0.00,0
2.042,12.50,-8.59,13.23,off,off,-10.67,13.19,0.21,on,13.39,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.15,72.90,1.30,4.12,170,2235,32.91,9.1,0.00,0
2.102,12.50,-8.59,13.22,off,off,-10.57,13.19,0.22,on,13.34,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.34,72.91,1.30,4.22,170,2236,32.11,9.1,0.00,0
2.161,12.50,-8.59,13.18,off,off,-10.59,13.19,0.22,on,13.34,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.42,72.89,1.30,4.20,170,2235,32.91,9.1,0.00,0
2.218,12.50,-8.59,13.21,off,off,-10.50,13.19,0.22,on,13.34,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.52,72.87,1.28,4.30,170,2233,32.95,9.1,0.00,0
2.319,12.50,-8.59,13.25,off,off,-10.48,13.19,0.23,on,13.34,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.69,72.89,1.30,4.31,170,2234,32.92,9.1,0.00,0
2.386,12.50,-8.59,13.30,off,off,-10.51,13.19,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.72,72.95,1.30,4.28,170,2239,33.31,8.7,0.00,0
2.442,13.28,-8.59,13.32,off,off,-10.40,13.19,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.82,72.97,1.32,4.39,170,2241,35.30,9.1,0.00,0
2.498,13.28,-8.59,13.34,off,off,-10.41,13.19,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.91,54,64,8.95,72.93,1.36,4.38,170,2238,35.34,9.1,0.00,0
2.562,13.28,-8.59,13.31,off,off,-10.32,13.19,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.92,54,64,9.08,73.02,1.32,4.47,170,2245,35.24,9.1,0.00,0
2.618,14.06,-8.59,13.29,off,off,-10.29,13.20,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.92,54,64,9.23,73.19,1.34,4.50,170,2258,33.40,9.1,0.00,0
2.685,13.28,-8.59,13.20,off,off,-10.31,13.20,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.93,54,64,9.12,73.21,1.30,4.48,170,2260,33.38,8.7,0.00,0
2.742,13.28,-8.59,13.17,off,off,-10.30,13.20,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.93,54,64,8.95,73.09,1.26,4.49,170,2250,32.89,8.7,0.00,0
2.798,13.28,-8.59,13.10,off,off,-10.36,13.19,0.23,on,13.30,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.92,54,64,8.91,73.06,1.26,4.43,170,2248,35.19,9.1,0.00,0
2.858,12.50,-8.59,13.08,off,off,-10.23,13.24,0.23,on,14.76,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.92,54,64,9.07,73.18,1.32,4.56,170,2257,35.04,9.4,0.00,0
2.928,11.72,-8.59,13.01,off,off,-10.14,13.32,0.23,on,14.82,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.93,54,64,9.09,73.23,1.30,4.65,170,2262,32.50,9.1,0.00,0
3.026,10.94,-8.59,12.95,off,off,-10.23,13.40,0.23,on,14.82,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.93,54,64,8.88,73.21,1.28,4.56,170,2260,30.12,8.7,0.00,0
3.086,10.16,-8.59,13.01,off,off,-10.30,13.48,0.22,on,14.87,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.93,54,64,8.65,73.20,1.26,4.50,170,2259,30.14,8.3,0.00,0
3.143,10.16,-8.59,13.24,off,off,-10.30,13.52,0.22,on,14.87,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.93,54,64,8.53,73.22,1.26,4.49,170,2261,30.94,8.7,0.00,0
3.198,10.94,-8.59,13.36,off,off,-10.44,13.61,0.22,on,14.87,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.94,54,64,8.51,73.32,1.28,4.35,170,2269,29.05,8.3,0.00,0
3.266,10.94,-8.59,13.52,off,off,-10.46,13.67,0.22,on,14.87,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.94,54,64,8.38,73.36,1.22,4.34,170,2271,27.93,8.3,0.00,0
3.322,10.94,-8.59,13.67,off,off,-10.58,13.73,0.21,on,14.87,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.45,54,64,8.24,73.28,1.20,4.21,170,2266,24.40,7.9,0.00,0
3.378,10.94,-8.59,13.80,off,off,-10.65,13.79,0.21,on,14.93,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.45,54,64,7.95,73.22,1.20,4.14,170,2261,24.74,7.9,0.00,0
3.438,11.72,-8.59,13.97,off,off,-10.79,13.85,0.19,on,14.93,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.45,54,64,7.73,73.28,1.16,4.00,170,2266,20.80,7.5,0.00,0
3.498,11.72,-8.59,14.03,off,off,-10.97,13.91,0.18,on,14.93,187,1.000,0.00,0.00,0.00,1.0,2,29.00,1.45,54,63,7.29,73.38,1.14,3.82,170,2274,14.44,6.7,0.00,0
3.573,12.50,-8.59,14.12,off,off,-11.21,13.97,0.17,on,14.93,187,1.000,0.00,0.00,0.00,1.0,2,28.00,1.45,54,63,6.75,73.35,1.02,3.59,170,2271,13.31,6.3,0.00,0
3.627,12.50,-8.59,14.17,off,off,-11.38,14.03,0.17,on,14.93,187,1.000,0.00,0.00,0.00,1.0,2,27.00,1.45,54,63,6.32,73.23,1.02,3.42,170,2262,12.19,6.3,0.00,0
3.683,12.50,-8.59,14.20,off,off,-11.56,14.10,0.16,on,14.93,187,1.000,0.00,0.00,0.00,1.0,2,25.50,1.45,54,63,6.02,73.23,1.00,3.24,170,2262,11.06,6.3,0.00,0
3.741,0.00,-8.59,14.19,off,off,-11.68,14.16,0.14,off,14.99,187,1.000,0.00,0.00,0.00,1.0,2,25.00,1.45,54,63,5.74,73.18,1.02,3.11,170,2258,0.00,5.9,0.00,0
3.798,0.00,-8.59,14.18,off,off,-11.90,14.22,0.14,off,14.99,187,1.000,0.00,0.00,0.00,1.0,2,23.50,0.95,54,63,5.42,72.84,0.98,2.89,170,2229,0.00,6.3,0.00,0
3.866,0.00,-8.59,14.14,off,off,-11.92,14.28,0.14,off,14.99,187,1.000,0.00,0.00,0.00,1.0,2,22.50,0.95,54,63,5.20,72.51,1.04,2.87,170,2201,0.00,6.3,0.00,0
